"",BBK01.OEAD21J,BBK01.OEAD21J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:23,
2002-01,0.170,
2002-04,0.179,
2002-07,0.167,
2002-10,0.136,
2003-01,0.154,
2003-04,0.171,
2003-07,0.188,
2003-10,0.165,
2004-01,0.147,
2004-04,0.149,
2004-07,0.173,
2004-10,0.150,
2005-01,0.139,
2005-04,0.133,
2005-07,0.131,
2005-10,0.131,
2006-01,0.109,
2006-04,0.121,
2006-07,0.132,
2006-10,0.118,
2007-01,0.147,
2007-04,0.155,
2007-07,0.202,
2007-10,0.201,
2008-01,0.231,
2008-04,0.239,
2008-07,0.252,
2008-10,0.222,
2009-01,0.192,
2009-04,0.200,
2009-07,0.181,
2009-10,0.186,
2010-01,0.127,
2010-04,0.140,
2010-07,0.144,
2010-10,0.133,
2011-01,0.163,
2011-04,0.162,
2011-07,0.190,
2011-10,0.197,
2012-01,0.181,
2012-04,0.179,
2012-07,0.180,
2012-10,0.210,
2013-01,0.224,
2013-04,0.222,
2013-07,0.223,
2013-10,0.203,
2014-01,0.187,
2014-04,0.209,
2014-07,0.228,
