"",BBK01.OEAH23R,BBK01.OEAH23R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:40,
2002-01,0.252,
2002-04,0.273,
2002-07,0.295,
2002-10,0.315,
2003-01,0.295,
2003-04,0.279,
2003-07,0.261,
2003-10,0.266,
2004-01,0.263,
2004-04,0.256,
2004-07,0.261,
2004-10,0.267,
2005-01,0.278,
2005-04,0.280,
2005-07,0.274,
2005-10,0.290,
2006-01,0.325,
2006-04,0.347,
2006-07,0.377,
2006-10,0.436,
2007-01,0.476,
2007-04,0.507,
2007-07,0.547,
2007-10,0.596,
2008-01,0.598,
2008-04,0.610,
2008-07,0.646,
2008-10,0.661,
2009-01,0.611,
2009-04,0.503,
2009-07,0.403,
2009-10,0.321,
2010-01,0.263,
2010-04,0.245,
2010-07,0.250,
2010-10,0.247,
2011-01,0.256,
2011-04,0.259,
2011-07,0.253,
2011-10,0.283,
2012-01,0.262,
2012-04,0.248,
2012-07,0.216,
2012-10,0.207,
2013-01,0.185,
2013-04,0.182,
2013-07,0.175,
2013-10,0.164,
2014-01,0.154,
2014-04,0.166,
2014-07,0.151,
