"",BBDE1.M.DE.Y.BAA1.A2P330000.G.C.I10.A,BBDE1.M.DE.Y.BAA1.A2P330000.G.C.I10.A_FLAGS
"",Output in the production sector / Germany / Durable goods / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:29:37,
1991-01,141.6,
1991-02,143.4,
1991-03,144.6,
1991-04,140.9,
1991-05,137.6,
1991-06,150.3,
1991-07,143.5,
1991-08,132.7,
1991-09,139.8,
1991-10,138.5,
1991-11,140.3,
1991-12,137.8,
1992-01,139.0,
1992-02,141.4,
1992-03,138.0,
1992-04,137.4,
1992-05,137.0,
1992-06,132.7,
1992-07,131.0,
1992-08,131.3,
1992-09,129.6,
1992-10,128.9,
1992-11,128.9,
1992-12,130.3,
1993-01,132.1,
1993-02,129.4,
1993-03,126.5,
1993-04,126.6,
1993-05,128.2,
1993-06,125.5,
1993-07,116.9,
1993-08,132.5,
1993-09,125.4,
1993-10,127.0,
1993-11,126.2,
1993-12,128.7,
1994-01,125.2,
1994-02,124.5,
1994-03,124.5,
1994-04,128.2,
1994-05,126.3,
1994-06,124.3,
1994-07,119.7,
1994-08,126.9,
1994-09,123.7,
1994-10,126.0,
1994-11,125.9,
1994-12,133.1,
1995-01,120.9,
1995-02,121.0,
1995-03,117.6,
1995-04,121.2,
1995-05,120.1,
1995-06,118.4,
1995-07,120.4,
1995-08,115.9,
1995-09,118.9,
1995-10,116.9,
1995-11,115.4,
1995-12,114.1,
1996-01,116.8,
1996-02,115.8,
1996-03,117.6,
1996-04,114.8,
1996-05,114.4,
1996-06,117.7,
1996-07,116.9,
1996-08,115.5,
1996-09,113.9,
1996-10,112.9,
1996-11,114.1,
1996-12,115.1,
1997-01,113.1,
1997-02,114.2,
1997-03,117.1,
1997-04,113.6,
1997-05,105.4,
1997-06,116.4,
1997-07,119.3,
1997-08,107.9,
1997-09,115.1,
1997-10,115.9,
1997-11,115.9,
1997-12,116.4,
1998-01,117.2,
1998-02,119.5,
1998-03,121.8,
1998-04,118.0,
1998-05,119.7,
1998-06,117.1,
1998-07,118.9,
1998-08,115.5,
1998-09,118.0,
1998-10,114.9,
1998-11,114.2,
1998-12,112.2,
1999-01,116.2,
1999-02,112.9,
1999-03,111.9,
1999-04,112.5,
1999-05,114.6,
1999-06,115.8,
1999-07,115.8,
1999-08,121.9,
1999-09,117.4,
1999-10,119.9,
1999-11,119.6,
1999-12,118.7,
2000-01,117.0,
2000-02,119.9,
2000-03,116.5,
2000-04,123.0,
2000-05,126.0,
2000-06,116.9,
2000-07,121.8,
2000-08,123.7,
2000-09,121.1,
2000-10,121.2,
2000-11,119.6,
2000-12,119.4,
2001-01,122.2,
2001-02,123.4,
2001-03,122.8,
2001-04,121.6,
2001-05,123.3,
2001-06,124.6,
2001-07,116.1,
2001-08,126.7,
2001-09,119.1,
2001-10,114.5,
2001-11,113.5,
2001-12,117.7,
2002-01,113.8,
2002-02,112.0,
2002-03,113.5,
2002-04,108.5,
2002-05,105.0,
2002-06,113.5,
2002-07,108.7,
2002-08,108.9,
2002-09,110.6,
2002-10,107.6,
2002-11,109.7,
2002-12,107.4,
2003-01,103.8,
2003-02,104.3,
2003-03,105.6,
2003-04,102.9,
2003-05,100.5,
2003-06,99.9,
2003-07,110.8,
2003-08,97.5,
2003-09,103.0,
2003-10,103.9,
2003-11,105.6,
2003-12,105.7,
2004-01,105.1,
2004-02,103.6,
2004-03,103.9,
2004-04,104.9,
2004-05,108.4,
2004-06,103.2,
2004-07,110.9,
2004-08,98.5,
2004-09,102.1,
2004-10,102.4,
2004-11,99.7,
2004-12,100.2,
