"",BBSF2.M.1.T.00000.SON01.I.F.WPS.Z5.00000.000000.EUR.00,BBSF2.M.1.T.00000.SON01.I.F.WPS.Z5.00000.000000.EUR.00_FLAGS
"",Funds total / Other funds / Securities total / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:32,
2009-09,1456,
2009-10,1699,
2009-11,3596,
2009-12,4031,
2010-01,4267,
2010-02,4284,
2010-03,4580,
2010-04,4566,
2010-05,4731,
2010-06,4679,
2010-07,5091,
2010-08,5379,
2010-09,5043,
2010-10,5528,
2010-11,5556,
2010-12,5479,
2011-01,5384,
2011-02,5482,
2011-03,5335,
2011-04,5588,
2011-05,5619,
2011-06,5689,
2011-07,5949,
2011-08,6744,
2011-09,6759,
2011-10,9226,
2011-11,12679,
2011-12,12556,
2012-01,12867,
2012-02,13049,
2012-03,12780,
2012-04,12494,
2012-05,12377,
2012-06,12227,
2012-07,12123,
2012-08,12371,
2012-09,12433,
2012-10,12401,
2012-11,12684,
2012-12,12842,
2013-01,13099,
2013-02,13309,
2013-03,13488,
2013-04,14188,
2013-05,15091,
2013-06,14793,
2013-07,15167,
2013-08,14989,
2013-09,15408,
2013-10,15904,
2013-11,16046,
2013-12,16459,
2014-01,16255,
2014-02,17046,
2014-03,17116,
2014-04,17242,
2014-05,17759,
2014-06,17917,
2014-07,18081,
2014-08,22677,
2014-09,22500,
2014-10,22569,
2014-11,23186,
