"",BBK01.OEAD40Q,BBK01.OEAD40Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:28,
2002-01,0.600,
2002-04,0.583,
2002-07,0.579,
2002-10,0.574,
2003-01,0.561,
2003-04,0.608,
2003-07,0.600,
2003-10,0.588,
2004-01,0.562,
2004-04,0.494,
2004-07,0.492,
2004-10,0.524,
2005-01,0.520,
2005-04,0.530,
2005-07,0.521,
2005-10,0.528,
2006-01,0.533,
2006-04,0.549,
2006-07,0.569,
2006-10,0.529,
2007-01,0.573,
2007-04,0.529,
2007-07,0.507,
2007-10,0.483,
2008-01,0.420,
2008-04,0.393,
2008-07,0.389,
2008-10,0.392,
2009-01,0.367,
2009-04,0.373,
2009-07,0.418,
2009-10,0.414,
2010-01,0.355,
2010-04,0.365,
2010-07,0.288,
2010-10,0.272,
2011-01,0.262,
2011-04,0.259,
2011-07,0.257,
2011-10,0.262,
2012-01,0.264,
2012-04,0.286,
2012-07,0.298,
2012-10,0.302,
2013-01,0.298,
2013-04,0.270,
2013-07,0.264,
2013-10,0.263,
2014-01,0.267,
2014-04,0.267,
2014-07,0.266,
