"",BBDE1.M.DE.Y.AEN5.A2P310000.F.C.I10.A,BBDE1.M.DE.Y.AEN5.A2P310000.F.C.I10.A_FLAGS
"","Orders received excluding large orders, foreign / At constant prices / Germany / Intermediate goods / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:20:06,
2010-01,93.3,
2010-02,96.3,
2010-03,97.2,
2010-04,99.9,
2010-05,98.7,
2010-06,99.2,
2010-07,101.5,
2010-08,101.3,
2010-09,100.3,
2010-10,101.6,
2010-11,103.0,
2010-12,104.7,
2011-01,107.2,
2011-02,106.4,
2011-03,107.4,
2011-04,105.0,
2011-05,103.2,
2011-06,105.5,
2011-07,104.5,
2011-08,104.9,
2011-09,101.7,
2011-10,100.3,
2011-11,98.1,
2011-12,102.7,
2012-01,103.3,
2012-02,102.3,
2012-03,99.7,
2012-04,99.9,
2012-05,102.4,
2012-06,100.3,
2012-07,100.5,
2012-08,101.1,
2012-09,96.0,
2012-10,100.2,
2012-11,98.9,
2012-12,100.0,
2013-01,97.6,
2013-02,98.0,
2013-03,102.6,
2013-04,100.4,
2013-05,100.5,
2013-06,98.0,
2013-07,99.7,
2013-08,98.9,
2013-09,101.0,
2013-10,105.3,
2013-11,101.4,
2013-12,100.2,
2014-01,103.5,
2014-02,105.2,
2014-03,101.1,
2014-04,104.9,
2014-05,100.6,
2014-06,104.0,
2014-07,104.2,
2014-08,101.5,
2014-09,104.9,
2014-10,105.3,
2014-11,106.1,
2014-12,107.8,Provisional value
