"",BBNZ1.Q.DE.S.G.0024.A,BBNZ1.Q.DE.S.G.0024.A_FLAGS
"",Germany / National accounts / Unit labor costs per unit on an hourly basis / Whole economy / Seasonally adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:38:10,
1991-01,103.92,
1991-04,106.47,
1991-07,106.38,
1991-10,105.26,
1992-01,104.99,
1992-04,107.17,
1992-07,108.80,
1992-10,107.38,
1993-01,107.00,
1993-04,107.51,
1993-07,106.65,
1993-10,107.19,
1994-01,106.09,
1994-04,105.68,
1994-07,105.07,
1994-10,105.27,
1995-01,105.48,
1995-04,105.97,
1995-07,105.99,
1995-10,106.35,
1996-01,106.85,
1996-04,105.68,
1996-07,105.38,
1996-10,105.27,
1997-01,106.67,
1997-04,104.04,
1997-07,103.76,
1997-10,103.87,
1998-01,103.69,
1998-04,104.39,
1998-07,104.30,
1998-10,104.73,
1999-01,104.51,
1999-04,105.72,
1999-07,105.03,
1999-10,104.54,
2000-01,105.02,
2000-04,105.79,
2000-07,106.73,
2000-10,106.96,
2001-01,104.15,
2001-04,104.78,
2001-07,104.71,
2001-10,104.30,
2002-01,104.24,
2002-04,103.88,
2002-07,103.18,
2002-10,103.67,
2003-01,104.22,
2003-04,104.08,
2003-07,103.21,
2003-10,103.20,
2004-01,102.52,
2004-04,102.03,
2004-07,101.86,
2004-10,101.85,
2005-01,102.77,
2005-04,100.80,
2005-07,100.17,
2005-10,100.28,
2006-01,98.97,
2006-04,98.50,
2006-07,98.67,
2006-10,97.08,
2007-01,95.88,
2007-04,96.21,
2007-07,95.84,
2007-10,95.42,
2008-01,96.14,
2008-04,96.03,
2008-07,97.37,
2008-10,100.04,
2009-01,103.63,
2009-04,102.88,
2009-07,101.81,
2009-10,100.83,
2010-01,101.56,
2010-04,99.96,
2010-07,99.51,
2010-10,99.07,
2011-01,99.02,
2011-04,99.40,
2011-07,99.14,
2011-10,99.69,
2012-01,99.81,
2012-04,101.13,
2012-07,101.23,
2012-10,101.26,
2013-01,101.81,
2013-04,100.64,
2013-07,100.77,
2013-10,100.81,
2014-01,100.68,
2014-04,100.81,
2014-07,101.08,
2014-10,100.97,
