"",BBK01.OEBO03J,BBK01.OEBO03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:18,
2002-01,0.226,
2002-04,0.274,
2002-07,0.161,
2002-10,0.145,
2003-01,0.181,
2003-04,0.159,
2003-07,0.167,
2003-10,0.156,
2004-01,0.191,
2004-04,0.139,
2004-07,0.127,
2004-10,0.120,
2005-01,0.210,
2005-04,0.161,
2005-07,0.177,
2005-10,0.176,
2006-01,0.219,
2006-04,0.192,
2006-07,0.194,
2006-10,0.199,
2007-01,0.256,
2007-04,0.199,
2007-07,0.232,
2007-10,0.216,
2008-01,0.235,
2008-04,0.218,
2008-07,0.225,
2008-10,0.251,
2009-01,0.308,
2009-04,0.186,
2009-07,0.198,
2009-10,0.299,
2010-01,0.246,
2010-04,0.168,
2010-07,0.136,
2010-10,0.165,
2011-01,0.219,
2011-04,0.211,
2011-07,0.168,
2011-10,0.166,
2012-01,0.226,
2012-04,0.168,
2012-07,0.177,
2012-10,0.190,
2013-01,0.258,
2013-04,0.175,
2013-07,0.127,
2013-10,0.110,
2014-01,0.113,
2014-04,0.105,
2014-07,0.105,
