"",BBK01.SU0019,BBK01.SU0019_FLAGS
"","Deposit rates of banks / Time deposits with agreed maturities of 1 month, EUR 500,000 and more but less than EUR 2.5 million / Average interest rate",
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2013-04-03 10:29:15,
1967-06,4.00,
1967-07,.,No value available
1967-08,.,No value available
1967-09,3.74,
1967-10,.,No value available
1967-11,.,No value available
1967-12,4.46,
1968-01,.,No value available
1968-02,.,No value available
1968-03,3.82,
1968-04,.,No value available
1968-05,.,No value available
1968-06,3.93,
1968-07,.,No value available
1968-08,.,No value available
1968-09,3.85,
1968-10,.,No value available
1968-11,4.68,
1968-12,.,No value available
1969-01,.,No value available
1969-02,3.93,
1969-03,.,No value available
1969-04,.,No value available
1969-05,4.34,
1969-06,.,No value available
1969-07,.,No value available
1969-08,5.62,
1969-09,.,No value available
1969-10,.,No value available
1969-11,6.58,
1969-12,.,No value available
1970-01,.,No value available
1970-02,8.71,
1970-03,.,No value available
1970-04,.,No value available
1970-05,9.20,
1970-06,.,No value available
1970-07,.,No value available
1970-08,8.70,
1970-09,.,No value available
1970-10,.,No value available
1970-11,8.37,
1970-12,.,No value available
1971-01,7.28,
1971-02,7.18,
1971-03,.,No value available
1971-04,.,No value available
1971-05,6.22,
1971-06,.,No value available
1971-07,.,No value available
1971-08,6.85,
1971-09,.,No value available
1971-10,.,No value available
1971-11,6.82,
1971-12,.,No value available
1972-01,.,No value available
1972-02,5.65,
1972-03,.,No value available
1972-04,.,No value available
1972-05,5.05,
1972-06,.,No value available
1972-07,.,No value available
1972-08,5.09,
1972-09,.,No value available
1972-10,.,No value available
1972-11,7.20,
1972-12,.,No value available
1973-01,.,No value available
1973-02,7.56,
1973-03,.,No value available
1973-04,.,No value available
1973-05,9.87,
1973-06,.,No value available
1973-07,11.69,
1973-08,12.62,
1973-09,.,No value available
1973-10,.,No value available
1973-11,12.94,
1973-12,.,No value available
1974-01,.,No value available
1974-02,10.35,
1974-03,.,No value available
1974-04,.,No value available
1974-05,8.51,
1974-06,.,No value available
1974-07,.,No value available
1974-08,8.43,
1974-09,.,No value available
1974-10,.,No value available
1974-11,8.51,
1974-12,.,No value available
1975-01,.,No value available
1975-02,6.26,
1975-03,5.31,
1975-04,4.97,
1975-05,4.78,
1975-06,4.49,
1975-07,4.41,
1975-08,3.99,
1975-09,3.85,
1975-10,4.39,comment
1975-11,4.52,comment
1975-12,4.77,comment
1976-01,4.09,
1976-02,3.99,
1976-03,3.89,
1976-04,3.67,
1976-05,3.62,
1976-06,3.75,
1976-07,4.05,
1976-08,4.37,
1976-09,4.51,
1976-10,5.13,comment
1976-11,4.69,
1976-12,4.82,
1977-01,4.50,
1977-02,4.43,
1977-03,4.42,
1977-04,4.30,
1977-05,4.17,
1977-06,3.99,
1977-07,4.00,
1977-08,3.98,
1977-09,3.95,
1977-10,4.29,comment
1977-11,4.36,comment
1977-12,4.45,comment
