"",BBK01.OEAC13V,BBK01.OEAC13V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:01,
2002-01,2.968,
2002-04,2.991,
2002-07,3.092,
2002-10,3.014,
2003-01,2.997,
2003-04,2.982,
2003-07,2.117,
2003-10,2.128,
2004-01,2.159,
2004-04,2.134,
2004-07,2.120,
2004-10,2.163,
2005-01,2.153,
2005-04,2.085,
2005-07,2.116,
2005-10,2.120,
2006-01,2.078,
2006-04,2.062,
2006-07,2.014,
2006-10,1.982,
2007-01,1.976,
2007-04,2.003,
2007-07,1.896,
2007-10,1.726,
2008-01,1.688,
2008-04,1.694,
2008-07,1.730,
2008-10,1.705,
2009-01,1.767,
2009-04,1.809,
2009-07,1.757,
2009-10,1.780,
2010-01,1.778,
2010-04,1.724,
2010-07,1.713,
2010-10,1.640,
2011-01,1.635,
2011-04,1.698,
2011-07,1.823,
2011-10,1.809,
2012-01,1.776,
2012-04,2.072,
2012-07,2.106,
2012-10,2.106,
2013-01,2.137,
2013-04,2.165,
2013-07,2.191,
2013-10,2.263,
2014-01,2.240,
2014-04,2.335,
2014-07,2.381,
