"",BBSF2.M.1.S.I1251.REN01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1251.REN01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Net asset value / Life insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:47,
2009-09,15300,
2009-10,15163,
2009-11,15809,
2009-12,17018,
2010-01,17237,
2010-02,17531,
2010-03,17477,
2010-04,17638,
2010-05,17719,
2010-06,17896,
2010-07,16404,
2010-08,16867,
2010-09,18183,
2010-10,18417,
2010-11,25505,
2010-12,25330,
2011-01,25307,
2011-02,25482,
2011-03,25608,
2011-04,25567,
2011-05,25825,
2011-06,25696,
2011-07,25844,
2011-08,25911,
2011-09,25822,
2011-10,25975,
2011-11,25217,
2011-12,26231,
2012-01,26916,
2012-02,26898,
2012-03,27100,
2012-04,27108,
2012-05,27322,
2012-06,27348,
2012-07,28120,
2012-08,28400,
2012-09,27838,
2012-10,27761,
2012-11,27789,
2012-12,28076,
2013-01,27726,
2013-02,28130,
2013-03,28127,
2013-04,28607,
2013-05,29253,
2013-06,28117,
2013-07,28775,
2013-08,28510,
2013-09,28783,
2013-10,29928,
2013-11,29909,
2013-12,30197,
2014-01,30211,
2014-02,30390,
2014-03,30438,
2014-04,26247,
2014-05,27117,
2014-06,27490,
2014-07,26811,
2014-08,27184,
2014-09,27291,
2014-10,27504,
2014-11,28405,
