"",BBK01.OEBB06P,BBK01.OEBB06P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:02,
2002-01,0.920,
2002-04,0.930,
2002-07,0.947,
2002-10,0.389,
2003-01,0.492,
2003-04,0.341,
2003-07,0.350,
2003-10,0.310,
2004-01,0.265,
2004-04,0.237,
2004-07,0.293,
2004-10,0.260,
2005-01,0.247,
2005-04,0.277,
2005-07,0.284,
2005-10,0.237,
2006-01,0.256,
2006-04,0.298,
2006-07,0.309,
2006-10,0.273,
2007-01,0.267,
2007-04,0.257,
2007-07,0.237,
2007-10,0.290,
2008-01,0.284,
2008-04,0.283,
2008-07,0.231,
2008-10,0.196,
2009-01,0.190,
2009-04,0.186,
2009-07,0.194,
2009-10,0.129,
2010-01,0.176,
2010-04,0.144,
2010-07,0.161,
2010-10,0.202,
2011-01,0.192,
2011-04,0.176,
2011-07,0.213,
2011-10,0.166,
2012-01,0.198,
2012-04,0.184,
2012-07,0.236,
2012-10,0.165,
2013-01,0.282,
2013-04,0.286,
2013-07,0.268,
2013-10,0.275,
2014-01,0.284,
2014-04,0.285,
2014-07,0.295,
