"",BBAI3.Q.DE.N.V.LE.F332A.S1252.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F332A.S1252.A1.S.1.N.E.Z_FLAGS
"",Assets / Pension undertakings / Securities other than shares excluding financial derivatives over 1 year and up to 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:44,
2005-10,870,
2006-01,897,
2006-04,807,
2006-07,652,
2006-10,634,
2007-01,1096,
2007-04,791,
2007-07,826,
2007-10,1027,
2008-01,789,
2008-04,813,
2008-07,791,
2008-10,939,
2009-01,808,
2009-04,842,
2009-07,838,
2009-10,674,
2010-01,708,
2010-04,588,
2010-07,567,
2010-10,693,
2011-01,659,
2011-04,557,
2011-07,763,
2011-10,650,
2012-01,860,
2012-04,768,
2012-07,930,
2012-10,746,
2013-01,716,
2013-04,784,
2013-07,759,
2013-10,833,
2014-01,647,
2014-04,174,
2014-07,117,
