"",BBK01.OEAE18I,BBK01.OEAE18I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:25,
2002-01,0.588,
2002-04,0.530,
2002-07,0.544,
2002-10,0.502,
2003-01,0.438,
2003-04,0.432,
2003-07,0.402,
2003-10,0.341,
2004-01,0.323,
2004-04,0.296,
2004-07,0.292,
2004-10,0.276,
2005-01,0.269,
2005-04,0.303,
2005-07,0.399,
2005-10,0.364,
2006-01,0.405,
2006-04,0.408,
2006-07,0.405,
2006-10,0.419,
2007-01,0.440,
2007-04,0.385,
2007-07,0.439,
2007-10,0.406,
2008-01,0.373,
2008-04,0.422,
2008-07,0.462,
2008-10,0.437,
2009-01,0.417,
2009-04,0.434,
2009-07,0.444,
2009-10,0.432,
2010-01,0.325,
2010-04,0.217,
2010-07,0.277,
2010-10,0.274,
2011-01,0.184,
2011-04,0.186,
2011-07,0.182,
2011-10,0.169,
2012-01,0.169,
2012-04,0.176,
2012-07,0.173,
2012-10,0.141,
2013-01,0.136,
2013-04,0.121,
2013-07,0.117,
2013-10,0.134,
2014-01,0.197,
2014-04,0.147,
2014-07,0.150,
