"",BBK01.OEYI04N,BBK01.OEYI04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:56,
2002-01,10.275,
2002-04,9.809,
2002-07,8.966,
2002-10,10.536,
2003-01,10.930,
2003-04,11.022,
2003-07,9.542,
2003-10,11.928,
2004-01,10.368,
2004-04,12.324,
2004-07,10.673,
2004-10,11.094,
2005-01,8.466,
2005-04,9.969,
2005-07,11.905,
2005-10,15.403,
2006-01,11.413,
2006-04,15.673,
2006-07,19.373,
2006-10,24.773,
2007-01,19.766,
2007-04,19.265,
2007-07,19.482,
2007-10,29.412,
2008-01,28.918,
2008-04,31.852,
2008-07,37.731,
2008-10,36.029,
2009-01,36.746,
2009-04,34.462,
2009-07,35.036,
2009-10,32.786,
2010-01,37.259,
2010-04,32.864,
2010-07,37.457,
2010-10,37.112,
2011-01,30.853,
2011-04,27.317,
2011-07,35.549,
2011-10,29.979,
2012-01,38.607,
2012-04,46.678,
2012-07,45.427,
2012-10,17.497,
2013-01,17.224,
2013-04,15.599,
2013-07,9.593,
2013-10,9.470,
2014-01,8.898,
2014-04,7.064,
2014-07,6.433,
