"",BBK01.OEAA02I,BBK01.OEAA02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:05,
2002-01,18.658,
2002-04,16.372,
2002-07,16.514,
2002-10,15.709,
2003-01,14.450,
2003-04,14.336,
2003-07,15.094,
2003-10,13.106,
2004-01,13.391,
2004-04,12.683,
2004-07,12.756,
2004-10,12.396,
2005-01,11.831,
2005-04,11.632,
2005-07,13.262,
2005-10,11.995,
2006-01,11.853,
2006-04,11.464,
2006-07,11.875,
2006-10,12.631,
2007-01,10.757,
2007-04,10.430,
2007-07,10.581,
2007-10,14.107,
2008-01,15.238,
2008-04,15.117,
2008-07,16.561,
2008-10,15.431,
2009-01,15.780,
2009-04,15.807,
2009-07,15.993,
2009-10,17.562,
2010-01,17.861,
2010-04,16.662,
2010-07,13.375,
2010-10,13.688,
2011-01,14.692,
2011-04,16.318,
2011-07,18.191,
2011-10,14.067,
2012-01,18.423,
2012-04,19.430,
2012-07,17.401,
2012-10,13.722,
2013-01,15.001,
2013-04,17.818,
2013-07,10.015,
2013-10,10.574,
2014-01,11.110,
2014-04,10.887,
2014-07,10.024,
