"",BBEX3.M.ZMK.EUR.CA.AC.A01,BBEX3.M.ZMK.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Zambia  / EUR 1 = ZMK ... (middle),
unit,ZMK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:22:29,
1999-01,2890.285,
1999-02,2287.030,
1999-03,2451.145,
1999-04,2507.935,
1999-05,2518.195,
1999-06,2528.245,
1999-07,2596.270,
1999-08,2493.885,
1999-09,2549.555,
1999-10,2541.405,
1999-11,2534.640,
1999-12,2668.840,
2000-01,2621.360,
2000-02,2670.360,
2000-03,2635.465,
2000-04,2580.095,
2000-05,2683.195,
2000-06,2872.100,
2000-07,2948.160,
2000-08,2870.975,
2000-09,2854.640,
2000-10,2928.935,
2000-11,3462.230,
2000-12,3860.540,
2001-01,3244.620,
2001-02,3352.620,
2001-03,2686.600,
2001-04,2837.695,
2001-05,2958.865,
2001-06,3152.800,
2001-07,3131.485,
2001-08,3298.570,
2001-09,3423.835,
2001-10,3419.785,
2001-11,3393.995,
2001-12,3375.720,
2002-01,3355.540,
2002-02,3393.975,
2002-03,3439.020,
2002-04,3562.655,
2002-05,3966.165,
2002-06,4401.695,
2002-07,4416.540,
2002-08,4410.210,
2002-09,4456.460,
2002-10,4592.105,
2002-11,4758.060,
2002-12,4517.315,
2003-01,4918.630,
2003-02,5205.050,
2003-03,5229.435,
2003-04,5300.960,
2003-05,5664.335,
2003-06,5510.545,
2003-07,5300.590,
2003-08,5055.590,
2003-09,5480.630,
2003-10,5598.915,
2003-11,5607.715,
2003-12,5961.465,
2004-01,5942.355,
2004-02,5885.990,
2004-03,5751.820,
2004-04,5608.470,
2004-05,5850.080,
2004-06,5851.990,
2004-07,5733.400,
2004-08,5789.575,
2004-09,6044.235,
2004-10,6115.840,
2004-11,6279.090,
2004-12,6491.070,
2005-01,6194.095,
2005-02,6242.275,
2005-03,6050.030,
2005-04,6052.455,
2005-05,5922.505,
2005-06,5643.925,
2005-07,5565.660,
2005-08,5291.530,
2005-09,5432.135,
2005-10,5213.250,
2005-11,4122.965,
2005-12,4150.910,
2006-01,4136.755,
2006-02,3930.930,
2006-03,3993.015,
2006-04,3829.710,
2006-05,4343.490,
2006-06,4480.520,
2006-07,4679.370,
2006-08,5018.235,
2006-09,5279.405,
2006-10,4886.860,
2006-11,5315.395,
2006-12,5810.765,
2007-01,5559.950,
2007-02,5609.510,
2007-03,5675.365,
2007-04,5698.205,
2007-05,5365.750,
2007-06,5095.020,
2007-07,5334.610,
2007-08,5520.805,
2007-09,5482.170,
2007-10,5469.860,
2007-11,5533.315,
2007-12,5582.985,
2008-01,5677.140,
2008-02,5679.640,
2008-03,5833.985,
2008-04,5408.340,
2008-05,5389.105,
2008-06,5026.970,
2008-07,5484.225,
2008-08,5175.610,
2008-09,5134.575,
2008-10,6220.705,
2008-11,5812.465,
2008-12,6861.220,
2009-01,6581.330,
2009-02,7118.305,
2009-03,7442.095,
2009-04,7453.920,
2009-05,7284.670,
2009-06,7284.560,
2009-07,7124.545,
2009-08,6689.380,
2009-09,6904.955,
2009-10,6877.345,
2009-11,7033.050,
2009-12,6683.805,
2010-01,6402.430,
2010-02,6439.210,
2010-03,6353.450,
2010-04,6324.395,
2010-05,6162.560,
2010-06,6312.545,
2010-07,6352.400,
2010-08,6274.995,
2010-09,6620.720,
2010-10,6481.650,
2010-11,6413.410,
2010-12,6414.075,
2011-01,6633.185,
2011-02,6583.340,
2011-03,6694.265,
2011-04,6979.720,
2011-05,6858.020,
2011-06,7005.655,
2011-07,6867.905,
2011-08,7162.175,
2011-09,6481.940,
2011-10,6870.125,
2011-11,6786.840,
2011-12,6621.960,
2012-01,6763.695,
2012-02,7055.970,
2012-03,7037.930,
2012-04,6880.700,
2012-05,6629.935,
2012-06,6534.410,
2012-07,6109.920,
2012-08,6312.820,
2012-09,6586.820,
2012-10,6863.985,
2012-11,6777.405,
2012-12,6787.865,
"","General: With effect from 1 January 2013, a currency conversion took place at the rate of 1,000 (old) kwacha = 1 (new) kwacha; the new ISO currency code is ZMW. The currency conversion did not entail any appreciation or depreciation against other currencies.",
"","Source: Calculated on the basis of the buying and selling rates of the Bank of Zambia, Lusaka.",
