"",BBK01.OECM04U,BBK01.OECM04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:46,
2002-01,0.118,
2002-04,0.122,
2002-07,0.101,
2002-10,0.096,
2003-01,0.085,
2003-04,0.109,
2003-07,0.079,
2003-10,0.077,
2004-01,0.081,
2004-04,0.074,
2004-07,0.068,
2004-10,0.061,
2005-01,0.051,
2005-04,0.046,
2005-07,0.060,
2005-10,0.049,
2006-01,0.090,
2006-04,0.089,
2006-07,0.096,
2006-10,0.101,
2007-01,0.093,
2007-04,0.112,
2007-07,0.148,
2007-10,0.215,
2008-01,0.155,
2008-04,0.170,
2008-07,0.195,
2008-10,0.149,
2009-01,0.130,
2009-04,0.129,
2009-07,0.103,
2009-10,0.047,
2010-01,0.058,
2010-04,0.047,
2010-07,0.056,
2010-10,0.054,
2011-01,0.041,
2011-04,0.043,
2011-07,0.064,
2011-10,0.055,
2012-01,0.085,
2012-04,0.081,
2012-07,0.065,
2012-10,0.070,
2013-01,0.058,
2013-04,0.064,
2013-07,0.061,
2013-10,0.042,
2014-01,0.043,
2014-04,0.051,
2014-07,0.040,
