"",BBK01.OEBJ09G,BBK01.OEBJ09G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:57,
2002-01,0.029,
2002-04,0.039,
2002-07,0.041,
2002-10,0.038,
2003-01,0.045,
2003-04,0.048,
2003-07,0.044,
2003-10,0.047,
2004-01,0.050,
2004-04,0.047,
2004-07,0.046,
2004-10,0.054,
2005-01,0.053,
2005-04,0.045,
2005-07,-,Nothing exists
2005-10,0.002,
2006-01,-,Nothing exists
2006-04,-,Nothing exists
2006-07,0.001,
2006-10,0.001,
2007-01,0.001,
2007-04,0.001,
2007-07,0.001,
2007-10,0.001,
2008-01,0.001,
2008-04,-,Nothing exists
2008-07,0.001,
2008-10,-,Nothing exists
2009-01,-,Nothing exists
2009-04,-,Nothing exists
2009-07,0.001,
2009-10,0.002,
2010-01,0.003,
2010-04,0.003,
2010-07,0.003,
2010-10,0.005,
2011-01,0.004,
2011-04,0.006,
2011-07,0.005,
2011-10,0.005,
2012-01,0.006,
2012-04,0.004,
2012-07,0.005,
2012-10,0.008,
2013-01,0.008,
2013-04,0.005,
2013-07,0.001,
2013-10,0.004,
2014-01,0.002,
2014-04,0.001,
2014-07,0.004,
