"",BBFB1.Q.N.DE.US.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.US.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / United States,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:43,
1991-01,103.170,
1991-04,395.329,
1991-07,-2270.936,
1991-10,1225.577,
1992-01,551.242,
1992-04,-2972.450,
1992-07,-449.174,
1992-10,-1980.792,
1993-01,1926.003,
1993-04,4104.900,
1993-07,2632.216,
1993-10,2812.718,
1994-01,4391.198,
1994-04,-153.508,
1994-07,-679.838,
1994-10,2142.568,
1995-01,319.861,
1995-04,2790.251,
1995-07,3887.314,
1995-10,6687.732,
1996-01,390.276,
1996-04,2406.046,
1996-07,1913.663,
1996-10,8748.936,
1997-01,10535.207,
1997-04,3959.038,
1997-07,1382.067,
1997-10,4251.186,
1998-01,13508.557,
1998-04,803.193,
1998-07,1986.051,
1998-10,24272.005,
1999-01,10632.008,
1999-04,14682.945,
1999-07,3713.714,
1999-10,15973.195,
2000-01,-942.557,
2000-04,2715.370,
2000-07,-8549.180,
2000-10,14619.235,
2001-01,41637.357,
2001-04,43873.622,
2001-07,7995.930,
2001-10,-10808.274,
2002-01,4053.513,
2002-04,2958.373,
2002-07,-13069.545,
2002-10,-16768.179,
2003-01,2534.924,
2003-04,2153.928,
2003-07,5510.690,
2003-10,-9213.191,
2004-01,-3349.798,
2004-04,-10102.223,
2004-07,-4468.060,
2004-10,-5062.376,
2005-01,3722.144,
2005-04,-624.559,
2005-07,-1330.026,
2005-10,-8557.668,
2006-01,1490.783,
2006-04,2200.077,
2006-07,1156.515,
2006-10,4253.450,
2007-01,-5823.504,
2007-04,10234.203,
2007-07,10880.369,
2007-10,-4409.008,
2008-01,12665.963,
2008-04,13490.033,
2008-07,-20807.674,
2008-10,6592.038,
2009-01,13948.716,
2009-04,-2444.516,
2009-07,-12544.732,
2009-10,-21938.306,
2010-01,-4177.338,
2010-04,11345.645,
2010-07,-1599.090,
2010-10,5340.025,
2011-01,2552.874,
2011-04,-480.742,
2011-07,-2257.798,
2011-10,-1671.113,
2012-01,4802.719,
2012-04,1607.928,
2012-07,16178.054,
2012-10,-6976.595,
2013-01,-2894.167,
2013-04,-1323.582,
2013-07,-12449.538,
2013-10,-13673.210,
2014-01,-6852.915,Provisional value
2014-04,-4015.733,Provisional value
2014-07,1541.925,Provisional value
2014-10,-10386.549,Provisional value
