"",BBFB1.Q.N.DE.RU.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.RU.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Russian Federation,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:29,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,920.948,
1992-07,1295.951,
1992-10,1329.902,
1993-01,1036.801,
1993-04,1296.205,
1993-07,1312.706,
1993-10,1847.443,
1994-01,1372.575,
1994-04,1248.113,
1994-07,1080.413,
1994-10,1283.302,
1995-01,1044.264,
1995-04,869.630,
1995-07,1126.312,
1995-10,1467.747,
1996-01,1173.528,
1996-04,962.809,
1996-07,1344.213,
1996-10,1566.643,
1997-01,1320.893,
1997-04,1657.224,
1997-07,2273.381,
1997-10,2439.340,
1998-01,2064.241,
1998-04,2044.509,
1998-07,1711.186,
1998-10,1026.820,
1999-01,802.871,
1999-04,1060.286,
1999-07,1227.443,
1999-10,1234.037,
2000-01,1138.706,
2000-04,1469.404,
2000-07,1616.351,
2000-10,1577.501,
2001-01,1677.058,
2001-04,2363.710,
2001-07,2736.502,
2001-10,3263.816,
2002-01,2444.162,
2002-04,2666.181,
2002-07,2983.617,
2002-10,3184.607,
2003-01,2716.374,
2003-04,3321.909,
2003-07,3429.459,
2003-10,3323.269,
2004-01,3476.835,
2004-04,3664.168,
2004-07,4001.669,
2004-10,4227.834,
2005-01,3472.234,
2005-04,4036.171,
2005-07,4481.640,
2005-10,5091.613,
2006-01,4691.837,
2006-04,5388.432,
2006-07,6382.145,
2006-10,7969.838,
2007-01,6180.549,
2007-04,7386.936,
2007-07,7740.697,
2007-10,7933.075,
2008-01,7237.491,
2008-04,8379.284,
2008-07,8724.450,
2008-10,8657.930,
2009-01,5474.216,
2009-04,5247.647,
2009-07,5815.028,
2009-10,6222.535,
2010-01,5352.386,
2010-04,6425.140,
2010-07,7827.952,
2010-10,8094.562,
2011-01,7871.850,
2011-04,8977.938,
2011-07,9896.018,
2011-10,9318.404,
2012-01,8994.714,
2012-04,10069.433,
2012-07,10484.984,
2012-10,10106.637,
2013-01,8708.052,
2013-04,9678.234,
2013-07,9910.417,
2013-10,9100.434,
2014-01,7998.128,Provisional value
2014-04,8144.362,Provisional value
2014-07,8263.642,Provisional value
