"",BBFN1.M.DE.N.1.L.CA.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.CA.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Canada,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:33,
1975-12,0.032,
1976-01,0.025,
1976-02,0.020,
1976-03,0.018,
1976-04,0.013,
1976-05,0.031,
1976-06,0.026,
1976-07,0.027,
1976-08,0.034,
1976-09,0.038,
1976-10,0.032,
1976-11,0.039,
1976-12,0.044,
1977-01,0.047,
1977-02,0.043,
1977-03,0.041,
1977-04,0.033,
1977-05,0.034,
1977-06,0.024,
1977-07,0.025,
1977-08,0.039,
1977-09,0.056,
1977-10,0.060,
1977-11,0.065,
1977-12,0.054,
1978-01,0.048,
1978-02,0.066,
1978-03,0.049,
1978-04,0.038,
1978-05,0.034,
1978-06,0.029,
1978-07,0.020,
1978-08,0.028,
1978-09,0.017,
1978-10,0.022,
1978-11,0.026,
1978-12,0.059,
1979-01,0.088,
1979-02,0.089,
1979-03,0.079,
1979-04,0.076,
1979-05,0.064,
1979-06,0.062,
1979-07,0.055,
1979-08,0.055,
1979-09,0.063,
1979-10,0.082,
1979-11,0.085,
1979-12,0.093,
1980-01,0.097,
1980-02,0.143,
1980-03,0.133,
1980-04,0.122,
1980-05,0.106,
1980-06,0.105,
1980-07,0.096,
1980-08,0.100,
1980-09,0.110,
1980-10,0.123,
1980-11,0.130,
1980-12,0.144,
1981-01,0.148,
1981-02,0.151,
1981-03,0.137,
1981-04,0.132,
1981-05,0.148,
1981-06,0.139,
1981-07,0.134,
1981-08,0.105,
1981-09,0.099,
1981-10,0.097,
1981-11,0.099,
1981-12,0.103,
1982-01,0.099,
1982-02,0.131,
1982-03,0.119,
1982-04,0.101,
1982-05,0.087,
1982-06,0.073,
1982-07,0.131,
1982-08,0.101,
1982-09,0.088,
1982-10,0.092,
1982-11,0.067,
1982-12,0.075,
1983-01,0.070,
1983-02,0.125,
1983-03,0.118,
1983-04,0.112,
1983-05,0.099,
1983-06,0.115,
1983-07,0.106,
1983-08,0.130,
1983-09,0.118,
1983-10,0.110,
1983-11,0.083,
1983-12,0.091,
1984-01,0.107,
1984-02,0.183,
1984-03,0.217,
1984-04,0.212,
1984-05,0.188,
1984-06,0.210,
1984-07,0.181,
1984-08,0.179,
1984-09,0.198,
1984-10,0.222,
1984-11,0.173,
1984-12,0.238,
1985-01,0.097,
1985-02,0.149,
1985-03,0.196,
1985-04,0.166,
1985-05,0.160,
1985-06,0.117,
1985-07,0.080,
1985-08,0.117,
1985-09,0.164,
1985-10,0.118,
1985-11,0.109,
1985-12,0.160,
1986-01,0.239,
1986-02,0.236,
1986-03,0.263,
1986-04,0.230,
1986-05,0.174,
1986-06,0.157,
1986-07,0.148,
1986-08,0.139,
1986-09,0.082,
1986-10,0.121,
1986-11,0.123,
1986-12,0.197,
1987-01,0.111,
1987-02,0.102,
1987-03,0.171,
1987-04,0.184,
1987-05,0.125,
1987-06,0.119,
1987-07,0.150,
1987-08,0.147,
1987-09,0.131,
1987-10,0.115,
1987-11,0.154,
1987-12,0.131,
1988-01,0.116,
1988-02,0.151,
1988-03,0.186,
1988-04,0.168,
1988-05,0.187,
1988-06,0.142,
1988-07,0.111,
1988-08,0.191,
1988-09,0.191,
1988-10,0.168,
1988-11,0.168,
1988-12,0.177,
1989-01,0.189,
1989-02,0.168,
1989-03,0.167,
1989-04,0.214,
1989-05,0.163,
1989-06,0.195,
1989-07,0.163,
1989-08,0.233,
1989-09,0.166,
1989-10,0.168,
1989-11,0.579,
1989-12,0.250,
1990-01,0.145,
1990-02,0.419,
1990-03,0.409,
1990-04,0.392,
1990-05,0.382,
1990-06,0.394,
1990-07,0.394,
1990-08,0.381,
1990-09,0.364,
1990-10,0.067,
1990-11,0.072,
1990-12,0.200,
1991-01,0.062,
1991-02,0.067,
1991-03,0.133,
1991-04,0.146,
1991-05,0.112,
1991-06,0.142,
1991-07,0.066,
1991-08,0.072,
1991-09,0.097,
1991-10,0.085,
1991-11,0.105,
1991-12,0.115,
1992-01,0.052,
1992-02,0.053,
1992-03,0.056,
1992-04,0.064,
1992-05,0.069,
1992-06,0.126,
1992-07,0.112,
1992-08,0.111,
1992-09,0.094,
1992-10,0.079,
1992-11,0.087,
1992-12,0.184,
1993-01,0.089,
1993-02,0.087,
1993-03,0.086,
1993-04,0.077,
1993-05,0.076,
1993-06,0.103,
1993-07,0.105,
1993-08,0.125,
1993-09,0.161,
1993-10,0.162,
1993-11,0.144,
1993-12,0.346,
1994-01,0.269,
1994-02,0.237,
1994-03,0.231,
1994-04,0.255,
1994-05,0.265,
1994-06,0.185,
1994-07,0.161,
1994-08,0.205,
1994-09,0.214,
1994-10,0.270,
1994-11,0.260,
1994-12,0.328,
1995-01,0.127,
1995-02,0.149,
1995-03,0.234,
1995-04,0.154,
1995-05,0.146,
1995-06,0.142,
1995-07,0.128,
1995-08,0.141,
1995-09,0.156,
1995-10,0.161,
1995-11,0.160,
1995-12,0.292,
1996-01,0.140,
1996-02,0.139,
1996-03,0.239,
1996-04,0.187,
1996-05,0.205,
1996-06,0.152,
1996-07,0.162,
1996-08,0.201,
1996-09,0.214,
1996-10,0.177,
1996-11,0.172,
1996-12,0.272,
1997-01,0.101,
1997-02,0.133,
1997-03,0.101,
1997-04,0.134,
1997-05,0.178,
1997-06,0.234,
1997-07,0.264,
1997-08,0.236,
1997-09,0.279,
1997-10,0.292,
1997-11,0.318,
1997-12,0.316,
1998-01,0.176,
1998-02,0.370,
1998-03,0.406,
1998-04,0.301,
1998-05,0.257,
1998-06,0.389,
1998-07,0.305,
1998-08,0.319,
1998-09,0.259,
1998-10,0.260,
1998-11,0.222,
1998-12,0.218,
1999-01,0.369,
1999-02,0.248,
1999-03,0.187,
1999-04,0.308,
1999-05,0.168,
1999-06,0.117,
1999-07,0.111,
1999-08,0.121,
1999-09,0.161,
1999-10,0.197,
1999-11,0.216,
1999-12,0.227,
2000-01,0.383,
2000-02,0.443,
2000-03,1.410,
2000-04,1.258,
2000-05,1.283,
2000-06,1.203,
2000-07,1.198,
2000-08,1.191,
2000-09,1.200,
2000-10,1.239,
2000-11,1.290,
2000-12,0.875,
2001-01,0.835,
2001-02,0.813,
2001-03,0.929,
2001-04,0.936,
2001-05,1.025,
2001-06,0.814,
2001-07,0.755,
2001-08,0.887,
2001-09,0.909,
2001-10,0.846,
2001-11,0.851,
2001-12,0.429,
2002-01,0.411,
2002-02,0.396,
