"",BBK01.OEAA08O,BBK01.OEAA08O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:27,
2002-01,0.721,
2002-04,0.756,
2002-07,0.745,
2002-10,0.815,
2003-01,0.915,
2003-04,0.918,
2003-07,0.924,
2003-10,0.677,
2004-01,0.715,
2004-04,0.285,
2004-07,0.301,
2004-10,3.536,
2005-01,5.065,
2005-04,5.467,
2005-07,5.181,
2005-10,5.060,
2006-01,4.920,
2006-04,4.915,
2006-07,4.962,
2006-10,5.022,
2007-01,5.031,
2007-04,4.946,
2007-07,4.910,
2007-10,5.017,
2008-01,5.026,
2008-04,5.040,
2008-07,5.107,
2008-10,5.076,
2009-01,5.038,
2009-04,5.069,
2009-07,5.070,
2009-10,6.198,
2010-01,6.125,
2010-04,6.150,
2010-07,6.153,
2010-10,1.983,
2011-01,2.019,
2011-04,1.995,
2011-07,1.967,
2011-10,1.931,
2012-01,1.371,
2012-04,1.344,
2012-07,1.320,
2012-10,1.278,
2013-01,1.267,
2013-04,1.222,
2013-07,1.192,
2013-10,1.167,
2014-01,1.135,
2014-04,1.117,
2014-07,1.076,
