"",BBSF2.M.1.S.I1250.DAC01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1250.DAC01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds-of-funds / Net asset value / Insurance corporations / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:15,
1999-01,5,
1999-02,5,
1999-03,7,
1999-04,8,
1999-05,8,
1999-06,13,
1999-07,12,
1999-08,15,
1999-09,15,
1999-10,15,
1999-11,25,
1999-12,27,
2000-01,28,
2000-02,31,
2000-03,33,
2000-04,30,
2000-05,28,
2000-06,29,
2000-07,29,
2000-08,30,
2000-09,28,
2000-10,26,
2000-11,25,
2000-12,24,
2001-01,27,
2001-02,26,
2001-03,25,
2001-04,26,
2001-05,28,
2001-06,27,
2001-07,23,
2001-08,23,
2001-09,20,
2001-10,22,
2001-11,23,
2001-12,24,
2002-01,25,
2002-02,26,
2002-03,27,
2002-04,26,
2002-05,26,
2002-06,23,
2002-07,23,
2002-08,23,
2002-09,22,
2002-10,22,
2002-11,24,
2002-12,23,
2003-01,23,
2003-02,22,
2003-03,22,
2003-04,23,
2003-05,23,
2003-06,13,
2003-07,8,
2003-08,8,
2003-09,9,
2003-10,9,
2003-11,9,
2003-12,5,
2004-01,5,
2004-02,5,
2004-03,5,
2004-04,5,
2004-05,5,
2004-06,5,
2004-07,5,
2004-08,-,Nothing exists
2004-09,-,Nothing exists
2004-10,-,Nothing exists
2004-11,-,Nothing exists
2004-12,-,Nothing exists
2005-01,-,Nothing exists
2005-02,-,Nothing exists
2005-03,-,Nothing exists
2005-04,-,Nothing exists
2005-05,-,Nothing exists
2005-06,-,Nothing exists
2005-07,-,Nothing exists
2005-08,-,Nothing exists
2005-09,-,Nothing exists
2005-10,-,Nothing exists
2005-11,54,
2005-12,55,
2006-01,57,
2006-02,59,
2006-03,116,
2006-04,116,
2006-05,160,
2006-06,160,
2006-07,221,
2006-08,229,
2006-09,233,
2006-10,240,
2006-11,236,
2006-12,245,
2007-01,249,
2007-02,243,
2007-03,248,
2007-04,261,
2007-05,282,
2007-06,281,
2007-07,285,
2007-08,226,
2007-09,229,
2007-10,234,
2007-11,223,
2007-12,223,
2008-01,212,
2008-02,235,
2008-03,232,
2008-04,233,
2008-05,226,
2008-06,218,
2008-07,218,
2008-08,197,
2008-09,191,
2008-10,19,
2008-11,19,
2008-12,19,
2009-01,19,
2009-02,19,
2009-03,19,
2009-04,20,
2009-05,20,
2009-06,20,
2009-07,20,
2009-08,20,
2009-09,20,
2009-10,21,
2009-11,1102,
2009-12,1119,
2010-01,1108,
2010-02,1108,
2010-03,1100,
2010-04,1080,
2010-05,1092,
2010-06,1094,
2010-07,1090,
2010-08,1073,
2010-09,1827,
2010-10,1864,
2010-11,1873,
2010-12,1887,
2011-01,1891,
2011-02,1949,
2011-03,2038,
2011-04,2093,
2011-05,2096,
2011-06,2091,
2011-07,2104,
2011-08,2088,
2011-09,2143,
2011-10,2167,
2011-11,2149,
2011-12,2161,
2012-01,2187,
2012-02,2207,
2012-03,2154,
2012-04,2163,
2012-05,2173,
2012-06,2182,
2012-07,10790,
2012-08,10891,
2012-09,10964,
2012-10,11857,
2012-11,12042,
2012-12,11853,
2013-01,12365,
2013-02,12470,
2013-03,12490,
2013-04,12664,
2013-05,12760,
2013-06,12439,
2013-07,12692,
2013-08,12571,
2013-09,12787,
2013-10,13237,
2013-11,13271,
2013-12,13387,
2014-01,13391,
2014-02,13577,
2014-03,13663,
2014-04,13804,
2014-05,14025,
2014-06,14107,
2014-07,14097,
2014-08,14061,
2014-09,14033,
2014-10,14054,
2014-11,14157,
