"",BBEX3.M.CHF.USD.CA.AA.A01,BBEX3.M.CHF.USD.CA.AA.A01_FLAGS
2007-01,1.2389,
2007-02,1.2045,
2007-03,1.2020,
2007-04,1.1920,
2007-05,1.2094,
2007-06,1.2157,
2007-07,1.1840,
2007-08,1.1883,
2007-09,1.1566,
2007-10,1.1440,
2007-11,1.1065,
2007-12,1.1088,
2008-01,1.0686,
2008-02,1.0379,
2008-03,0.9842,
2008-04,1.0224,
2008-05,1.0343,
2008-06,1.0041,
2008-07,1.0356,
2008-08,1.0815,
2008-09,1.0816,
2008-10,1.1340,
2008-11,1.1827,
2008-12,1.0598,
2009-01,1.1402,
2009-02,1.1534,
2009-03,1.1306,
2009-04,1.1239,
2009-05,1.0663,
2009-06,1.0649,
2009-07,1.0702,
2009-08,1.0495,
2009-09,1.0200,
2009-10,1.0110,
2009-11,0.9920,
2009-12,1.0190,
2010-01,1.0504,
2010-02,1.0772,
2010-03,1.0646,
2010-04,1.0793,
2010-05,1.1564,
2010-06,1.0810,
2010-07,1.0378,
2010-08,1.0203,
2010-09,0.9772,
2010-10,0.9890,
2010-11,0.9987,
2010-12,0.9366,
2011-01,0.9427,
2011-02,0.9261,
2011-03,0.9154,
2011-04,0.8689,
2011-05,0.8505,
2011-06,0.8341,
2011-07,0.8017,
2011-08,0.8118,
2011-09,0.9006,
2011-10,0.8711,
2011-11,0.9226,
2011-12,0.9403,
2012-01,0.9138,
2012-02,0.8955,
2012-03,0.9030,
2012-04,0.9073,
2012-05,0.9675,
2012-06,0.9555,
2012-07,0.9796,
2012-08,0.9579,
2012-09,0.9351,
2012-10,0.9287,
2012-11,0.9250,
2012-12,0.9153,
2013-01,0.9109,
2013-02,0.9298,
2013-03,0.9542,
2013-04,0.9379,
2013-05,0.9540,
2013-06,0.9463,
2013-07,0.9263,
2013-08,0.9302,
2013-09,0.9052,
2013-10,0.9001,
2013-11,0.9051,
2013-12,0.8908,
2014-01,0.9034,
2014-02,0.8857,
2014-03,0.8869,
2014-04,0.8839,
2014-05,0.8974,
2014-06,0.8900,
2014-07,0.9082,
2014-08,0.9151,
2014-09,0.9534,
2014-10,0.9598,
2014-11,0.9665,
2014-12,0.9894,
2015-01,0.9231,
"","Source: Since 2010 Swiss National Bank, Zurich 1999 - 2009 Neue Zürcher Zeitung 1998 Credit Suisse First Boston 1995 - 1997 Schweizerischer Bankverein, Zurich 1989 - 1994 Neue Zürcher Zeitung",
