"",BBK01.OEYL05N,BBK01.OEYL05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:22,
2002-01,7.732,
2002-04,7.821,
2002-07,7.784,
2002-10,8.027,
2003-01,7.945,
2003-04,8.031,
2003-07,7.985,
2003-10,8.204,
2004-01,8.252,
2004-04,8.359,
2004-07,8.373,
2004-10,8.656,
2005-01,8.792,
2005-04,8.923,
2005-07,8.290,
2005-10,8.592,
2006-01,8.662,
2006-04,8.763,
2006-07,8.785,
2006-10,8.997,
2007-01,9.030,
2007-04,9.092,
2007-07,9.024,
2007-10,9.208,
2008-01,9.187,
2008-04,9.197,
2008-07,9.047,
2008-10,9.179,
2009-01,9.100,
2009-04,9.120,
2009-07,9.217,
2009-10,9.463,
2010-01,9.543,
2010-04,9.646,
2010-07,9.691,
2010-10,9.945,
2011-01,9.984,
2011-04,10.098,
2011-07,10.120,
2011-10,10.679,
2012-01,11.153,
2012-04,11.282,
2012-07,11.282,
2012-10,12.563,
2013-01,12.619,
2013-04,12.694,
2013-07,12.712,
2013-10,13.447,
2014-01,13.692,
2014-04,13.810,
2014-07,14.278,
