"",BBK01.OEXL07Q,BBK01.OEXL07Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:30,
2002-01,1.886,
2002-04,1.838,
2002-07,1.872,
2002-10,1.938,
2003-01,1.995,
2003-04,1.980,
2003-07,1.916,
2003-10,1.869,
2004-01,1.831,
2004-04,1.785,
2004-07,1.727,
2004-10,0.895,
2005-01,0.905,
2005-04,0.896,
2005-07,0.864,
2005-10,0.884,
2006-01,0.903,
2006-04,0.900,
2006-07,0.910,
2006-10,0.942,
2007-01,1.090,
2007-04,1.160,
2007-07,1.228,
2007-10,1.351,
2008-01,1.416,
2008-04,1.418,
2008-07,1.468,
2008-10,1.760,
2009-01,1.756,
2009-04,1.780,
2009-07,1.827,
2009-10,1.686,
2010-01,1.562,
2010-04,1.536,
2010-07,1.485,
2010-10,1.602,
2011-01,1.730,
2011-04,1.649,
2011-07,1.615,
2011-10,1.595,
2012-01,1.535,
2012-04,1.522,
2012-07,1.488,
2012-10,1.436,
2013-01,1.337,
2013-04,1.270,
2013-07,1.259,
2013-10,1.252,
2014-01,1.246,
2014-04,1.224,
2014-07,1.313,
