"",BBK01.CEHB03,BBK01.CEHB03_FLAGS
"",Long-term debt securities debtor: All sectors                    creditor: Monetary financial institutions,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:49,
1991-01,3.2,
1991-04,3.0,
1991-07,6.1,
1991-10,8.6,
1992-01,14.9,
1992-04,13.6,
1992-07,26.5,
1992-10,32.2,
1993-01,10.4,
1993-04,12.6,
1993-07,15.2,
1993-10,32.2,
1994-01,28.5,
1994-04,15.8,
1994-07,11.5,
1994-10,2.7,
1995-01,5.9,
1995-04,2.6,
1995-07,11.2,
1995-10,21.4,
1996-01,24.8,
1996-04,17.8,
1996-07,12.3,
1996-10,7.7,
1997-01,40.1,
1997-04,17.7,
1997-07,16.8,
1997-10,-5.3,
1998-01,37.0,
1998-04,41.7,
1998-07,8.9,
1998-10,30.2,
1999-01,6.2,
1999-04,37.5,
1999-07,22.3,
1999-10,4.1,
2000-01,41.2,
2000-04,19.3,
2000-07,17.4,
2000-10,10.1,
2001-01,26.3,
2001-04,29.4,
2001-07,-4.7,
2001-10,10.0,
2002-01,20.6,
2002-04,14.8,
2002-07,-13.0,
2002-10,-15.6,
2003-01,19.1,
2003-04,4.2,
2003-07,4.5,
2003-10,7.8,
2004-01,57.2,
2004-04,33.1,
2004-07,18.6,
2004-10,0.2,
2005-01,52.4,
2005-04,28.0,
2005-07,-13.8,
2005-10,0.1,
2006-01,20.6,
2006-04,17.9,
2006-07,-2.4,
2006-10,21.2,
2007-01,38.8,
2007-04,20.9,
2007-07,-9.4,
2007-10,2.1,
2008-01,14.6,
2008-04,11.3,
2008-07,1.1,
2008-10,12.7,
2009-01,39.0,
2009-04,41.3,
2009-07,1.6,
2009-10,-23.4,
2010-01,15.5,
2010-04,-32.6,
2010-07,-29.1,
2010-10,-24.8,
2011-01,-11.9,
2011-04,-17.4,
2011-07,-8.1,
2011-10,-0.7,
2012-01,-0.4,
2012-04,-19.0,
2012-07,-4.5,
2012-10,-11.2,
2013-01,-19.6,
2013-04,-6.4,
2013-07,-11.8,
2013-10,-2.4,
2014-01,-9.0,
