"",BBK01.OEAA14R,BBK01.OEAA14R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:37,
2002-01,0.736,
2002-04,0.724,
2002-07,0.730,
2002-10,0.768,
2003-01,0.793,
2003-04,0.803,
2003-07,0.796,
2003-10,0.775,
2004-01,0.772,
2004-04,0.764,
2004-07,0.723,
2004-10,0.711,
2005-01,0.698,
2005-04,0.702,
2005-07,0.693,
2005-10,0.672,
2006-01,0.646,
2006-04,0.653,
2006-07,0.662,
2006-10,0.642,
2007-01,0.622,
2007-04,0.671,
2007-07,0.667,
2007-10,0.583,
2008-01,1.922,
2008-04,0.535,
2008-07,0.547,
2008-10,0.548,
2009-01,0.610,
2009-04,0.660,
2009-07,0.577,
2009-10,0.607,
2010-01,0.696,
2010-04,0.707,
2010-07,0.663,
2010-10,0.709,
2011-01,0.732,
2011-04,0.761,
2011-07,0.765,
2011-10,0.761,
2012-01,0.752,
2012-04,0.782,
2012-07,0.799,
2012-10,0.745,
2013-01,0.817,
2013-04,0.824,
2013-07,0.976,
2013-10,0.952,
2014-01,0.940,
2014-04,0.916,
2014-07,0.900,
