"",BBK01.OEXJ03P,BBK01.OEXJ03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:38,
2002-01,0.094,
2002-04,0.078,
2002-07,0.107,
2002-10,0.069,
2003-01,0.064,
2003-04,0.063,
2003-07,0.041,
2003-10,0.032,
2004-01,0.033,
2004-04,0.030,
2004-07,0.034,
2004-10,0.035,
2005-01,0.039,
2005-04,0.036,
2005-07,0.053,
2005-10,0.107,
2006-01,0.119,
2006-04,0.113,
2006-07,0.084,
2006-10,0.111,
2007-01,0.187,
2007-04,0.163,
2007-07,0.124,
2007-10,0.134,
2008-01,0.260,
2008-04,0.263,
2008-07,0.147,
2008-10,0.269,
2009-01,0.329,
2009-04,0.207,
2009-07,0.256,
2009-10,0.255,
2010-01,0.378,
2010-04,0.126,
2010-07,0.238,
2010-10,0.196,
2011-01,0.323,
2011-04,0.358,
2011-07,0.344,
2011-10,0.350,
2012-01,0.277,
2012-04,0.330,
2012-07,0.391,
2012-10,0.358,
2013-01,0.358,
2013-04,0.331,
2013-07,0.294,
2013-10,0.129,
2014-01,0.188,
2014-04,0.169,
2014-07,0.179,
