"",BBK01.OEAH48Q,BBK01.OEAH48Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:15,
2002-01,0.007,
2002-04,0.006,
2002-07,0.007,
2002-10,0.005,
2003-01,0.005,
2003-04,0.004,
2003-07,0.006,
2003-10,0.006,
2004-01,0.007,
2004-04,0.006,
2004-07,0.005,
2004-10,0.004,
2005-01,0.005,
2005-04,0.005,
2005-07,0.007,
2005-10,0.008,
2006-01,0.010,
2006-04,0.009,
2006-07,0.024,
2006-10,0.021,
2007-01,0.018,
2007-04,0.024,
2007-07,0.033,
2007-10,0.052,
2008-01,0.072,
2008-04,0.081,
2008-07,0.082,
2008-10,0.087,
2009-01,0.061,
2009-04,0.072,
2009-07,0.063,
2009-10,0.062,
2010-01,0.053,
2010-04,0.051,
2010-07,0.051,
2010-10,0.049,
2011-01,0.043,
2011-04,0.031,
2011-07,0.033,
2011-10,0.035,
2012-01,0.045,
2012-04,0.041,
2012-07,0.037,
2012-10,0.037,
2013-01,0.035,
2013-04,0.034,
2013-07,0.033,
2013-10,0.033,
2014-01,0.029,
2014-04,0.022,
2014-07,0.020,
