"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.Z5.00000.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.Z5.00000.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:24,
2009-09,81225,
2009-10,81012,
2009-11,83311,
2009-12,82884,
2010-01,84639,
2010-02,86256,
2010-03,88559,
2010-04,88847,
2010-05,90444,
2010-06,90578,
2010-07,91783,
2010-08,93122,
2010-09,93080,
2010-10,91122,
2010-11,89549,
2010-12,89243,
2011-01,87262,
2011-02,86893,
2011-03,85356,
2011-04,84208,
2011-05,84882,
2011-06,83660,
2011-07,84551,
2011-08,83581,
2011-09,82589,
2011-10,81752,
2011-11,79253,
2011-12,79162,
2012-01,80633,
2012-02,81899,
2012-03,81079,
2012-04,81839,
2012-05,82238,
2012-06,81446,
2012-07,83429,
2012-08,83931,
2012-09,84532,
2012-10,84576,
2012-11,85452,
2012-12,86115,
2013-01,85773,
2013-02,87292,
2013-03,88024,
2013-04,88761,
2013-05,88747,
2013-06,86618,
2013-07,88136,
2013-08,87811,
2013-09,88379,
2013-10,88008,
2013-11,87170,
2013-12,86639,
2014-01,88367,
2014-02,89499,
2014-03,89450,
2014-04,90474,
2014-05,91580,
2014-06,92354,
2014-07,92830,
2014-08,93871,
2014-09,94246,
2014-10,95817,
2014-11,98334,
