"",BBK01.OEAD07S,BBK01.OEAD07S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:50,
2002-01,0.088,
2002-04,0.093,
2002-07,0.098,
2002-10,0.078,
2003-01,0.074,
2003-04,0.073,
2003-07,0.068,
2003-10,0.067,
2004-01,0.068,
2004-04,0.065,
2004-07,0.069,
2004-10,0.066,
2005-01,0.072,
2005-04,0.070,
2005-07,0.071,
2005-10,0.070,
2006-01,0.066,
2006-04,0.078,
2006-07,0.081,
2006-10,0.077,
2007-01,0.088,
2007-04,0.086,
2007-07,0.086,
2007-10,0.091,
2008-01,0.093,
2008-04,0.094,
2008-07,0.098,
2008-10,0.098,
2009-01,0.103,
2009-04,0.112,
2009-07,0.105,
2009-10,0.138,
2010-01,0.105,
2010-04,0.108,
2010-07,0.105,
2010-10,0.120,
2011-01,0.116,
2011-04,0.114,
2011-07,0.115,
2011-10,0.096,
2012-01,0.093,
2012-04,0.095,
2012-07,0.097,
2012-10,0.087,
2013-01,0.089,
2013-04,0.091,
2013-07,0.084,
2013-10,0.078,
2014-01,0.075,
2014-04,0.079,
2014-07,0.080,
