"",BBK01.OEAB06N,BBK01.OEAB06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:28,
2002-01,75.594,
2002-04,75.592,
2002-07,74.159,
2002-10,74.952,
2003-01,74.988,
2003-04,74.203,
2003-07,72.213,
2003-10,71.095,
2004-01,73.019,
2004-04,67.680,
2004-07,66.357,
2004-10,63.898,
2005-01,69.048,
2005-04,64.632,
2005-07,62.183,
2005-10,61.995,
2006-01,62.254,
2006-04,61.117,
2006-07,62.127,
2006-10,59.809,
2007-01,63.474,
2007-04,62.173,
2007-07,61.254,
2007-10,63.735,
2008-01,65.503,
2008-04,66.665,
2008-07,70.077,
2008-10,72.899,
2009-01,69.204,
2009-04,71.271,
2009-07,75.311,
2009-10,63.975,
2010-01,64.920,
2010-04,88.333,
2010-07,74.828,
2010-10,73.077,
2011-01,73.579,
2011-04,75.232,
2011-07,88.748,
2011-10,84.405,
2012-01,80.125,
2012-04,87.352,
2012-07,84.156,
2012-10,70.088,
2013-01,76.340,
2013-04,74.200,
2013-07,54.552,
2013-10,52.343,
2014-01,55.623,
2014-04,55.379,
2014-07,54.218,
