"",BBFB1.Q.N.DE.W00200.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.W00200.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / Industrial Countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:13,
1991-01,10194.527,
1991-04,11463.229,
1991-07,12053.117,
1991-10,11557.941,
1992-01,10783.069,
1992-04,11451.894,
1992-07,11739.379,
1992-10,12080.361,
1993-01,10754.662,
1993-04,11271.799,
1993-07,12025.539,
1993-10,11779.829,
1994-01,11377.039,
1994-04,11210.521,
1994-07,12058.408,
1994-10,11673.246,
1995-01,11989.391,
1995-04,11791.367,
1995-07,12718.367,
1995-10,13140.198,
1996-01,11921.928,
1996-04,12573.286,
1996-07,13344.802,
1996-10,14008.276,
1997-01,13257.470,
1997-04,15081.920,
1997-07,16057.732,
1997-10,16408.661,
1998-01,15554.631,
1998-04,15908.512,
1998-07,17095.034,
1998-10,16729.426,
1999-01,14815.190,
1999-04,16783.782,
1999-07,18176.991,
1999-10,18916.241,
2000-01,18097.073,
2000-04,19617.482,
2000-07,19986.244,
2000-10,21734.013,
2001-01,18871.597,
2001-04,20462.329,
2001-07,20875.814,
2001-10,23816.505,
2002-01,20898.304,
2002-04,22967.993,
2002-07,24044.658,
2002-10,25862.033,
2003-01,20339.448,
2003-04,21998.149,
2003-07,22497.721,
2003-10,25209.433,
2004-01,23003.179,
2004-04,25376.896,
2004-07,26034.267,
2004-10,28329.581,
2005-01,24627.951,
2005-04,25910.526,
2005-07,27207.666,
2005-10,30259.113,
2006-01,27060.240,
2006-04,30139.026,
2006-07,30744.760,
2006-10,33975.487,
2007-01,28642.991,
2007-04,31548.898,
2007-07,32585.824,
2007-10,34549.986,
2008-01,30880.187,
2008-04,33072.435,
2008-07,33881.077,
2008-10,36913.610,
2009-01,30394.005,
2009-04,31938.347,
2009-07,32399.369,
2009-10,35064.744,
2010-01,31138.321,
2010-04,33995.511,
2010-07,35242.857,
2010-10,37445.543,
2011-01,33470.557,
2011-04,34438.985,
2011-07,36389.181,
2011-10,40265.912,
2012-01,34955.303,
2012-04,37077.940,
2012-07,38627.395,
2012-10,40145.379,
2013-01,36149.122,
2013-04,38207.635,
2013-07,40445.671,
2013-10,42683.106,
2014-01,38077.147,Provisional value
2014-04,40145.563,Provisional value
2014-07,41404.100,Provisional value
