"",BBK01.OEAB10J,BBK01.OEAB10J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:51,
2002-01,2.951,
2002-04,3.166,
2002-07,3.158,
2002-10,2.885,
2003-01,2.946,
2003-04,2.888,
2003-07,2.809,
2003-10,2.526,
2004-01,2.489,
2004-04,2.549,
2004-07,2.454,
2004-10,2.734,
2005-01,2.305,
2005-04,2.317,
2005-07,2.250,
2005-10,2.206,
2006-01,2.378,
2006-04,2.366,
2006-07,2.263,
2006-10,2.215,
2007-01,2.406,
2007-04,2.408,
2007-07,2.375,
2007-10,2.351,
2008-01,2.388,
2008-04,2.580,
2008-07,2.714,
2008-10,2.663,
2009-01,2.809,
2009-04,2.709,
2009-07,2.722,
2009-10,2.446,
2010-01,2.533,
2010-04,2.708,
2010-07,2.660,
2010-10,2.827,
2011-01,2.919,
2011-04,2.992,
2011-07,3.023,
2011-10,3.053,
2012-01,3.262,
2012-04,3.433,
2012-07,3.692,
2012-10,3.756,
2013-01,3.653,
2013-04,3.472,
2013-07,3.695,
2013-10,3.618,
2014-01,3.529,
2014-04,3.497,
2014-07,3.253,
