"",BBK01.CEFN0J,BBK01.CEFN0J_FLAGS
"",Transferable deposits  debtor: Total           creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:03,
1999-01,230.7,
1999-04,244.9,
1999-07,247.1,
1999-10,254.6,
2000-01,263.6,
2000-04,257.1,
2000-07,253.2,
2000-10,259.4,
2001-01,266.8,
2001-04,279.3,
2001-07,290.0,
2001-10,320.2,
2002-01,325.1,
2002-04,338.1,
2002-07,335.7,
2002-10,352.8,
2003-01,365.7,
2003-04,375.6,
2003-07,380.0,
2003-10,388.2,
2004-01,397.0,
2004-04,405.3,
2004-07,404.4,
2004-10,414.9,
2005-01,421.7,
2005-04,432.1,
2005-07,435.2,
2005-10,448.1,
2006-01,449.3,
2006-04,453.6,
2006-07,442.2,
2006-10,450.3,
2007-01,450.0,
2007-04,462.6,
2007-07,462.7,
2007-10,472.1,
2008-01,467.5,
2008-04,466.0,
2008-07,463.2,
2008-10,495.1,
2009-01,543.0,
2009-04,575.8,
2009-07,600.8,
2009-10,633.9,
2010-01,650.8,
2010-04,670.2,
2010-07,676.2,
2010-10,694.4,
2011-01,694.1,
2011-04,701.9,
2011-07,709.9,
2011-10,727.1,
2012-01,737.6,
2012-04,761.4,
2012-07,786.6,
2012-10,818.3,
2013-01,836.8,
2013-04,862.5,
2013-07,878.8,
2013-10,907.8,
2014-01,916.0,
2014-04,935.9,
2014-07,947.8,
