"",BBEX3.M.GHS.EUR.CA.AB.A01,BBEX3.M.GHS.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in Ghana / EUR 1 = GHS ... (selling),
unit,GHS (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:29,
2007-07,1.2810,
2007-08,1.2785,
2007-09,1.3389,
2007-10,1.3579,
2007-11,1.4275,
2007-12,1.4294,
2008-01,1.4561,
2008-02,1.4846,
2008-03,1.5560,
2008-04,1.5470,
2008-05,1.5598,
2008-06,1.6116,
2008-07,1.6924,
2008-08,1.6530,
2008-09,1.6429,
2008-10,1.5312,
2008-11,1.5475,
2008-12,1.7399,
2009-01,1.6615,
2009-02,1.7119,
2009-03,1.8444,
2009-04,1.8925,
2009-05,2.0168,
2009-06,2.0787,
2009-07,2.1016,
2009-08,2.1145,
2009-09,2.1470,
2009-10,2.1739,
2009-11,2.1789,
2009-12,2.0831,
2010-01,2.0046,
2010-02,1.9531,
2010-03,1.9236,
2010-04,1.8993,
2010-05,1.7571,
2010-06,1.7542,
2010-07,1.8858,
2010-08,1.8262,
2010-09,1.9632,
2010-10,1.9943,
2010-11,1.8984,
2010-12,1.9570,
2011-01,2.0360,
2011-02,2.1050,
2011-03,2.1783,
2011-04,2.2685,
2011-05,2.1909,
2011-06,2.2063,
2011-07,2.1754,
2011-08,2.2118,
2011-09,2.0942,
2011-10,2.2056,
2011-11,2.1035,
2011-12,2.0919,
2012-01,2.2150,
2012-02,2.2855,
2012-03,2.3355,
2012-04,2.4066,
2012-05,2.3405,
2012-06,2.4158,
2012-07,2.3823,
2012-08,2.4254,
2012-09,2.4800,
2012-10,2.4544,
2012-11,2.4768,
2012-12,2.5063,
2013-01,2.5773,
2013-02,2.5138,
2013-03,2.4802,
2013-04,2.5784,
2013-05,2.5734,
2013-06,2.5893,
2013-07,2.6446,
2013-08,2.6415,
2013-09,2.7076,
2013-10,2.7912,
2013-11,2.8320,
2013-12,2.9878,
2014-01,3.2511,
2014-02,3.4615,
2014-03,3.6873,
2014-04,3.8622,
2014-05,3.9412,
2014-06,4.0948,
2014-07,4.0602,
2014-08,4.1292,
2014-09,4.0578,
2014-10,4.0318,
2014-11,3.9942,
2014-12,3.8970,
2015-01,3.6720,
2015-02,3.9022,
"","General: With effect from 1 July 2007, a currency conversion took place at the rate of 10,000 cedi (GHC) = 1 Ghana cedi (GHS). The currency conversion did not entail any appreciation or depreciation against other currencies.",
"","Source: Bank of Ghana, Accra.",
