"",BBDL1.M.DE2.Y.UNE.UBA000.A0000.A01.D00.0.R00.A,BBDL1.M.DE2.Y.UNE.UBA000.A0000.A01.D00.0.R00.A_FLAGS
"",Unemployment registered pursuant to section 16 Social Security Code III / East Germany / Social Security Code III and Social Security Code II / Rate / Calendar and seasonally adjusted,
unit,Prozent (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-26 10:19:16,
1993-12,15.4,Estimated value
1994-01,15.4,
1994-02,15.4,
1994-03,15.5,
1994-04,15.4,
1994-05,15.2,
1994-06,14.9,
1994-07,14.7,
1994-08,14.5,
1994-09,14.2,
1994-10,14.0,
1994-11,13.7,
1994-12,13.6,
1995-01,13.5,
1995-02,13.3,
1995-03,13.4,
1995-04,13.5,
1995-05,13.5,
1995-06,13.8,
1995-07,13.9,
1995-08,14.0,
1995-09,14.3,
1995-10,14.6,
1995-11,14.7,
1995-12,15.0,
1996-01,15.2,
1996-02,15.6,
1996-03,15.8,
1996-04,15.5,
1996-05,15.3,
1996-06,15.4,
1996-07,15.4,
1996-08,15.3,
1996-09,15.4,
1996-10,15.6,
1996-11,15.8,
1996-12,16.0,
1997-01,16.9,
1997-02,16.9,
1997-03,16.8,
1997-04,16.9,
1997-05,17.4,
1997-06,17.7,
1997-07,17.9,
1997-08,18.2,
1997-09,18.6,
1997-10,18.8,
1997-11,18.9,
1997-12,18.9,
1998-01,18.9,
1998-02,18.9,
1998-03,18.9,
1998-04,18.6,
1998-05,18.1,
1998-06,17.5,
1998-07,17.3,
1998-08,17.1,
1998-09,16.8,
1998-10,16.6,
1998-11,16.7,
1998-12,17.1,
1999-01,17.1,
1999-02,17.0,
1999-03,16.9,
1999-04,17.0,
1999-05,17.0,
1999-06,17.1,
1999-07,17.4,
1999-08,17.6,
1999-09,17.7,
1999-10,17.7,
1999-11,17.6,
1999-12,17.4,
2000-01,17.3,
2000-02,17.3,
2000-03,17.4,
2000-04,17.1,
2000-05,17.0,
2000-06,16.9,
2000-07,17.0,
2000-08,17.1,
2000-09,17.0,
2000-10,17.0,
2000-11,17.1,
2000-12,17.1,
2001-01,17.1,
2001-02,17.2,
2001-03,17.2,
2001-04,17.1,
2001-05,17.2,
2001-06,17.3,
2001-07,17.3,
2001-08,17.4,
2001-09,17.5,
2001-10,17.6,
2001-11,17.5,
2001-12,17.5,
2002-01,17.5,
2002-02,17.4,
2002-03,17.4,
2002-04,17.3,
2002-05,17.6,
2002-06,18.1,
2002-07,17.9,
2002-08,17.8,
2002-09,17.7,
2002-10,17.8,
2002-11,18.0,
2002-12,18.2,
2003-01,18.4,
2003-02,18.4,
2003-03,18.4,
2003-04,18.5,
2003-05,18.8,
2003-06,18.8,
2003-07,18.7,
2003-08,18.6,
2003-09,18.5,
2003-10,18.4,
2003-11,18.4,
2003-12,18.4,
2004-01,17.9,
2004-02,18.0,
2004-03,18.0,
2004-04,18.2,
2004-05,18.4,
2004-06,18.5,
2004-07,18.6,
2004-08,18.6,
2004-09,18.7,
2004-10,18.7,
2004-11,18.8,
2004-12,18.9,
2005-01,19.4,
2005-02,19.4,
2005-03,19.4,
2005-04,19.1,
2005-05,19.0,
2005-06,19.0,
2005-07,18.7,
2005-08,18.4,
2005-09,18.2,
2005-10,18.1,
2005-11,18.0,
2005-12,17.8,
2006-01,18.1,
2006-02,18.1,
2006-03,18.1,
2006-04,17.8,
2006-05,17.4,
2006-06,17.2,
2006-07,16.9,
2006-08,17.0,
2006-09,17.1,
2006-10,16.9,
2006-11,16.5,
2006-12,16.2,
2007-01,15.9,
2007-02,15.6,
2007-03,15.4,
2007-04,15.2,
2007-05,15.1,
2007-06,15.0,
2007-07,14.9,
2007-08,14.9,
2007-09,14.7,
2007-10,14.6,
2007-11,14.4,
2007-12,14.2,
2008-01,13.8,
2008-02,13.6,
2008-03,13.3,
2008-04,13.3,
2008-05,13.3,
2008-06,13.1,
2008-07,13.0,
2008-08,13.0,
2008-09,12.8,
2008-10,12.7,
2008-11,12.7,
2008-12,12.7,
2009-01,12.8,
2009-02,12.9,
2009-03,13.1,
2009-04,13.3,
2009-05,13.2,
2009-06,13.2,
2009-07,13.1,
2009-08,13.0,
2009-09,12.9,
2009-10,12.7,
2009-11,12.7,
2009-12,12.6,
2010-01,12.5,
2010-02,12.5,
2010-03,12.4,
2010-04,12.2,
2010-05,12.0,
2010-06,11.9,
2010-07,11.9,
2010-08,11.7,
2010-09,11.7,
2010-10,11.6,
2010-11,11.5,
2010-12,11.6,
2011-01,11.7,
2011-02,11.5,
2011-03,11.4,
2011-04,11.3,
2011-05,11.3,
2011-06,11.3,
2011-07,11.3,
2011-08,11.2,
2011-09,11.1,
2011-10,11.0,
2011-11,11.0,
2011-12,10.9,
2012-01,10.8,
2012-02,10.8,
2012-03,10.7,
2012-04,10.7,
2012-05,10.7,
2012-06,10.6,
2012-07,10.6,
2012-08,10.6,
2012-09,10.6,
2012-10,10.6,
2012-11,10.5,
2012-12,10.5,
2013-01,10.5,
2013-02,10.4,
2013-03,10.5,
2013-04,10.4,
2013-05,10.4,
2013-06,10.2,
2013-07,10.2,
2013-08,10.2,
2013-09,10.2,
2013-10,10.2,
2013-11,10.2,
2013-12,10.1,
2014-01,10.0,
2014-02,9.9,
2014-03,9.9,
2014-04,9.7,
2014-05,9.8,
2014-06,9.8,
2014-07,9.7,
2014-08,9.7,
2014-09,9.7,
2014-10,9.6,
2014-11,9.6,
2014-12,9.5,
2015-01,9.4,
2015-02,9.3,
