"",BBK01.OEHM02M,BBK01.OEHM02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:31,
2002-01,0.455,
2002-04,0.415,
2002-07,0.379,
2002-10,0.512,
2003-01,0.365,
2003-04,0.381,
2003-07,0.342,
2003-10,0.507,
2004-01,0.353,
2004-04,0.439,
2004-07,0.371,
2004-10,0.530,
2005-01,0.464,
2005-04,0.474,
2005-07,0.504,
2005-10,0.544,
2006-01,0.437,
2006-04,0.479,
2006-07,0.496,
2006-10,0.577,
2007-01,0.454,
2007-04,0.543,
2007-07,0.512,
2007-10,0.620,
2008-01,0.500,
2008-04,0.555,
2008-07,0.486,
2008-10,0.720,
2009-01,0.694,
2009-04,0.773,
2009-07,0.648,
2009-10,0.767,
2010-01,0.654,
2010-04,0.674,
2010-07,0.674,
2010-10,0.732,
2011-01,0.515,
2011-04,0.659,
2011-07,0.645,
2011-10,0.749,
2012-01,0.724,
2012-04,0.813,
2012-07,0.997,
2012-10,1.126,
2013-01,0.916,
2013-04,1.062,
2013-07,0.990,
2013-10,1.119,
2014-01,1.025,
2014-04,1.089,
2014-07,1.002,
