"",BBK01.OECO02S,BBK01.OECO02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:30,
2002-01,0.083,
2002-04,0.070,
2002-07,0.058,
2002-10,0.066,
2003-01,0.064,
2003-04,0.057,
2003-07,0.100,
2003-10,0.062,
2004-01,0.070,
2004-04,0.059,
2004-07,0.090,
2004-10,0.076,
2005-01,0.191,
2005-04,0.162,
2005-07,0.158,
2005-10,0.122,
2006-01,0.195,
2006-04,0.150,
2006-07,0.145,
2006-10,0.164,
2007-01,0.276,
2007-04,0.157,
2007-07,0.132,
2007-10,0.174,
2008-01,0.197,
2008-04,0.206,
2008-07,0.107,
2008-10,0.145,
2009-01,0.228,
2009-04,0.193,
2009-07,0.233,
2009-10,0.199,
2010-01,0.221,
2010-04,0.125,
2010-07,0.104,
2010-10,0.118,
2011-01,0.145,
2011-04,0.128,
2011-07,0.152,
2011-10,0.126,
2012-01,0.296,
2012-04,0.113,
2012-07,0.122,
2012-10,0.140,
2013-01,0.214,
2013-04,0.119,
2013-07,0.101,
2013-10,0.101,
2014-01,0.081,
2014-04,0.060,
2014-07,0.144,
