"",BBK01.OEYK01J,BBK01.OEYK01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:44,
2002-01,0.067,
2002-04,0.068,
2002-07,0.064,
2002-10,0.084,
2003-01,0.071,
2003-04,0.081,
2003-07,0.070,
2003-10,0.091,
2004-01,0.071,
2004-04,0.072,
2004-07,0.081,
2004-10,0.103,
2005-01,0.102,
2005-04,0.104,
2005-07,0.107,
2005-10,0.122,
2006-01,0.128,
2006-04,0.106,
2006-07,0.106,
2006-10,0.113,
2007-01,0.125,
2007-04,0.143,
2007-07,0.149,
2007-10,0.183,
2008-01,0.173,
2008-04,0.172,
2008-07,0.169,
2008-10,0.224,
2009-01,0.192,
2009-04,0.160,
2009-07,0.136,
2009-10,0.149,
2010-01,0.155,
2010-04,0.145,
2010-07,0.147,
2010-10,0.149,
2011-01,0.156,
2011-04,0.157,
2011-07,0.158,
2011-10,0.149,
2012-01,0.168,
2012-04,0.165,
2012-07,0.176,
2012-10,0.184,
2013-01,0.176,
2013-04,0.179,
2013-07,0.172,
2013-10,0.180,
2014-01,0.185,
2014-04,0.195,
2014-07,0.191,
