"",BBFN1.M.DE.N.1.L.F1.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.F1.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Countries in Africa,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:19:12,
1995-01,0.030,
1995-02,0.031,
1995-03,0.031,
1995-04,0.031,
1995-05,0.031,
1995-06,0.031,
1995-07,0.030,
1995-08,0.096,
1995-09,0.096,
1995-10,0.098,
1995-11,0.098,
1995-12,0.090,
1996-01,0.024,
1996-02,0.024,
1996-03,0.024,
1996-04,0.039,
1996-05,0.038,
1996-06,0.037,
1996-07,0.037,
1996-08,0.036,
1996-09,0.036,
1996-10,0.036,
1996-11,0.037,
1996-12,0.036,
1997-01,0.035,
1997-02,0.258,
1997-03,0.258,
1997-04,0.258,
1997-05,0.258,
1997-06,0.104,
1997-07,0.229,
1997-08,0.229,
1997-09,0.230,
1997-10,0.255,
1997-11,0.265,
1997-12,0.043,
1998-01,0.042,
1998-02,0.043,
1998-03,0.046,
1998-04,0.018,
1998-05,0.018,
1998-06,0.017,
1998-07,0.018,
1998-08,0.018,
1998-09,0.020,
1998-10,0.020,
1998-11,0.020,
1998-12,0.019,
1999-01,0.022,
1999-02,0.021,
1999-03,0.021,
1999-04,0.018,
1999-05,0.020,
1999-06,0.020,
1999-07,0.020,
1999-08,0.020,
1999-09,0.020,
1999-10,0.020,
1999-11,0.020,
1999-12,0.019,
2000-01,0.019,
2000-02,0.019,
2000-03,0.019,
2000-04,0.019,
2000-05,0.019,
2000-06,0.018,
2000-07,0.018,
2000-08,0.018,
2000-09,0.019,
2000-10,0.019,
2000-11,0.019,
2000-12,0.020,
2001-01,0.023,
2001-02,0.620,
2001-03,0.620,
2001-04,0.620,
2001-05,0.620,
2001-06,0.619,
2001-07,0.618,
2001-08,0.618,
2001-09,0.618,
2001-10,0.618,
2001-11,0.618,
2001-12,0.630,
2002-01,0.646,
2002-02,0.649,
2002-03,0.646,
2002-04,0.665,
2002-05,0.668,
2002-06,0.330,
2002-07,0.331,
2002-08,0.332,
2002-09,0.333,
2002-10,0.347,
2002-11,0.348,
2002-12,0.346,
2003-01,0.347,
2003-02,0.429,
2003-03,0.490,
2003-04,0.431,
2003-05,0.431,
2003-06,0.382,
2003-07,0.400,
2003-08,0.320,
2003-09,0.402,
2003-10,0.403,
2003-11,0.404,
2003-12,0.405,
2004-01,0.407,
2004-02,0.403,
2004-03,0.404,
2004-04,0.401,
2004-05,0.403,
2004-06,0.393,
2004-07,0.394,
2004-08,0.395,
2004-09,0.395,
2004-10,0.396,
2004-11,0.397,
2004-12,0.397,
2005-01,0.398,
2005-02,0.399,
2005-03,0.399,
2005-04,0.249,
2005-05,0.345,
2005-06,0.316,
2005-07,0.313,
2005-08,0.318,
2005-09,0.306,
2005-10,0.553,
2005-11,0.553,
2005-12,0.537,
2006-01,0.530,
2006-02,0.532,
2006-03,0.515,
2006-04,0.510,
2006-05,0.401,
2006-06,0.385,
2006-07,0.384,
2006-08,0.383,
2006-09,0.369,
2006-10,0.369,
2006-11,0.368,
2006-12,0.357,
2007-01,0.356,
2007-02,0.343,
2007-03,0.315,
2007-04,0.303,
2007-05,0.291,
2007-06,0.274,
2007-07,0.287,
2007-08,0.284,
2007-09,0.284,
2007-10,0.287,
2007-11,0.287,
2007-12,0.275,
2008-01,0.265,
2008-02,0.257,
2008-03,0.246,
2008-04,0.241,
2008-05,0.229,
2008-06,0.221,
2008-07,0.213,
2008-08,0.205,
2008-09,0.196,
2008-10,0.189,
2008-11,0.182,
2008-12,0.174,
2009-01,0.166,
2009-02,0.160,
2009-03,0.090,
2009-04,0.090,
2009-05,0.090,
2009-06,0.090,
2009-07,0.090,
2009-08,0.090,
2009-09,0.091,
2009-10,0.091,
2009-11,0.091,
2009-12,0.090,
2010-01,0.106,
2010-02,0.111,
2010-03,0.102,
2010-04,0.102,
2010-05,0.102,
2010-06,0.107,
2010-07,0.113,
2010-08,0.113,
2010-09,0.104,
2010-10,0.104,
2010-11,0.105,
2010-12,0.106,
2011-01,0.096,
2011-02,0.097,
2011-03,0.096,
2011-04,0.096,
2011-05,0.096,
2011-06,0.096,
2011-07,0.096,
2011-08,0.096,
2011-09,0.096,
2011-10,0.090,
2011-11,0.090,
2011-12,0.060,
2012-01,0.047,
2012-02,0.050,
2012-03,0.049,
2012-04,0.049,
2012-05,0.050,
2012-06,0.051,
2012-07,0.052,
2012-08,0.051,
2012-09,0.050,
2012-10,0.047,
2012-11,0.046,
2012-12,0.047,
2013-01,0.044,
2013-02,0.042,
2013-03,0.040,
2013-04,0.040,
2013-05,0.037,
2013-06,0.039,
2013-07,0.037,
2013-08,0.043,
2013-09,0.045,
2013-10,0.041,
2013-11,0.038,
2013-12,0.037,
2014-01,0.042,
2014-02,0.042,
2014-03,0.043,
2014-04,0.048,
2014-05,0.048,
2014-06,0.048,
2014-07,0.020,
2014-08,0.017,
2014-09,0.017,
2014-10,0.017,
2014-11,0.113,
2014-12,0.035,
