"",BBK01.OEAH86U,BBK01.OEAH86U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:41,
2002-01,0.021,
2002-04,0.022,
2002-07,0.031,
2002-10,0.028,
2003-01,0.030,
2003-04,0.030,
2003-07,0.035,
2003-10,0.062,
2004-01,0.029,
2004-04,0.037,
2004-07,0.031,
2004-10,0.028,
2005-01,0.043,
2005-04,0.038,
2005-07,0.054,
2005-10,0.060,
2006-01,0.057,
2006-04,0.057,
2006-07,0.057,
2006-10,0.039,
2007-01,0.044,
2007-04,0.050,
2007-07,0.035,
2007-10,0.064,
2008-01,0.053,
2008-04,0.054,
2008-07,0.077,
2008-10,0.069,
2009-01,0.067,
2009-04,0.076,
2009-07,0.075,
2009-10,0.083,
2010-01,0.070,
2010-04,0.073,
2010-07,0.086,
2010-10,0.072,
2011-01,0.080,
2011-04,0.082,
2011-07,0.088,
2011-10,0.085,
2012-01,0.094,
2012-04,0.096,
2012-07,0.103,
2012-10,0.105,
2013-01,0.084,
2013-04,0.103,
2013-07,0.101,
2013-10,0.115,
2014-01,0.097,
2014-04,0.104,
2014-07,0.113,
