"",BBK01.OEXB12L,BBK01.OEXB12L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:38,
2002-01,4.365,
2002-04,4.390,
2002-07,4.886,
2002-10,5.442,
2003-01,5.059,
2003-04,4.890,
2003-07,5.083,
2003-10,5.027,
2004-01,5.761,
2004-04,5.701,
2004-07,5.213,
2004-10,5.252,
2005-01,5.198,
2005-04,5.490,
2005-07,5.738,
2005-10,9.665,
2006-01,10.445,
2006-04,10.594,
2006-07,10.392,
2006-10,10.132,
2007-01,10.928,
2007-04,10.604,
2007-07,12.580,
2007-10,13.315,
2008-01,13.686,
2008-04,11.579,
2008-07,11.715,
2008-10,11.970,
2009-01,11.760,
2009-04,11.223,
2009-07,11.331,
2009-10,11.040,
2010-01,11.614,
2010-04,11.075,
2010-07,13.456,
2010-10,13.538,
2011-01,13.183,
2011-04,12.701,
2011-07,12.249,
2011-10,11.585,
2012-01,11.673,
2012-04,11.652,
2012-07,10.979,
2012-10,6.564,
2013-01,6.676,
2013-04,6.583,
2013-07,6.439,
2013-10,6.638,
2014-01,6.416,
2014-04,6.439,
2014-07,6.879,
