"",BBK01.OECI02M,BBK01.OECI02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:28,
2002-01,2.990,
2002-04,3.289,
2002-07,3.377,
2002-10,4.228,
2003-01,3.592,
2003-04,3.604,
2003-07,3.645,
2003-10,4.300,
2004-01,3.666,
2004-04,3.881,
2004-07,3.725,
2004-10,4.351,
2005-01,6.040,
2005-04,6.283,
2005-07,6.346,
2005-10,6.393,
2006-01,6.010,
2006-04,6.020,
2006-07,6.028,
2006-10,6.674,
2007-01,6.451,
2007-04,6.598,
2007-07,6.757,
2007-10,7.623,
2008-01,7.063,
2008-04,6.542,
2008-07,6.824,
2008-10,8.441,
2009-01,8.375,
2009-04,8.310,
2009-07,8.837,
2009-10,9.753,
2010-01,9.212,
2010-04,9.748,
2010-07,9.635,
2010-10,10.057,
2011-01,9.620,
2011-04,9.297,
2011-07,9.627,
2011-10,10.698,
2012-01,9.768,
2012-04,10.391,
2012-07,11.430,
2012-10,12.512,
2013-01,11.587,
2013-04,11.646,
2013-07,11.762,
2013-10,12.180,
2014-01,11.698,
2014-04,11.684,
2014-07,12.271,
