"",BBK01.OEBL09Q,BBK01.OEBL09Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:08,
2002-01,0.543,
2002-04,0.512,
2002-07,0.537,
2002-10,0.516,
2003-01,0.459,
2003-04,0.419,
2003-07,0.393,
2003-10,0.376,
2004-01,0.360,
2004-04,0.336,
2004-07,0.318,
2004-10,0.313,
2005-01,0.328,
2005-04,0.316,
2005-07,0.285,
2005-10,0.278,
2006-01,0.281,
2006-04,0.302,
2006-07,0.323,
2006-10,0.352,
2007-01,0.507,
2007-04,0.574,
2007-07,0.633,
2007-10,0.728,
2008-01,0.768,
2008-04,0.797,
2008-07,0.854,
2008-10,1.169,
2009-01,1.155,
2009-04,1.120,
2009-07,1.124,
2009-10,0.910,
2010-01,0.724,
2010-04,0.694,
2010-07,0.657,
2010-10,0.777,
2011-01,0.903,
2011-04,0.931,
2011-07,0.945,
2011-10,0.896,
2012-01,0.828,
2012-04,0.810,
2012-07,0.747,
2012-10,0.635,
2013-01,0.524,
2013-04,0.453,
2013-07,0.423,
2013-10,0.399,
2014-01,0.378,
2014-04,0.361,
2014-07,0.468,
