"",BBFB1.Q.N.DE.A2.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A2.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / North American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:28,
1991-01,4894.162,
1991-04,6085.839,
1991-07,5315.872,
1991-10,5248.510,
1992-01,6023.603,
1992-04,5481.612,
1992-07,5006.592,
1992-10,5508.673,
1993-01,5421.656,
1993-04,5292.055,
1993-07,4812.196,
1993-10,5262.436,
1994-01,5486.988,
1994-04,5634.344,
1994-07,5106.550,
1994-10,5997.400,
1995-01,5940.459,
1995-04,5656.752,
1995-07,5406.068,
1995-10,6272.630,
1996-01,6164.167,
1996-04,6317.352,
1996-07,5889.303,
1996-10,6261.365,
1997-01,6640.451,
1997-04,7542.879,
1997-07,7022.943,
1997-10,7439.447,
1998-01,7890.462,
1998-04,8099.957,
1998-07,7828.178,
1998-10,8035.105,
1999-01,8139.408,
1999-04,8573.430,
1999-07,8604.121,
1999-10,9284.260,
2000-01,9329.550,
2000-04,10400.393,
2000-07,9642.148,
2000-10,11701.287,
2001-01,11230.176,
2001-04,10331.845,
2001-07,8704.161,
2001-10,8934.788,
2002-01,8663.385,
2002-04,9076.573,
2002-07,7647.981,
2002-10,8237.004,
2003-01,8184.662,
2003-04,7782.343,
2003-07,7685.687,
2003-10,7396.458,
2004-01,7016.437,
2004-04,8845.189,
2004-07,7531.424,
2004-10,8108.376,
2005-01,7010.058,
2005-04,8504.513,
2005-07,7903.768,
2005-10,9106.921,
2006-01,9237.978,
2006-04,9685.516,
2006-07,9565.856,
2006-10,10460.333,
2007-01,10751.479,
2007-04,10310.233,
2007-07,10026.085,
2007-10,9952.123,
2008-01,9865.164,
2008-04,10068.178,
2008-07,10283.520,
2008-10,10860.754,
2009-01,10040.997,
2009-04,8180.323,
2009-07,7755.613,
2009-10,8533.918,
2010-01,9153.126,
2010-04,10042.037,
2010-07,10777.809,
2010-10,11198.124,
2011-01,11506.977,
2011-04,10857.268,
2011-07,11213.002,
2011-10,11888.813,
2012-01,11721.251,
2012-04,12127.872,
2012-07,12252.400,
2012-10,11863.008,
2013-01,11626.050,
2013-04,11519.431,
2013-07,11571.016,
2013-10,11332.779,
2014-01,11197.679,Provisional value
2014-04,11630.445,Provisional value
2014-07,10870.758,Provisional value
