"",BBK01.CEF80N,BBK01.CEF80N_FLAGS
"",MMF shares or units  debtor: Total                                            creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:18,
1999-01,1.5,
1999-04,1.6,
1999-07,1.6,
1999-10,1.3,
2000-01,1.1,
2000-04,0.8,
2000-07,0.5,
2000-10,0.5,
2001-01,0.6,
2001-04,0.6,
2001-07,0.8,
2001-10,3.2,
2002-01,2.8,
2002-04,2.1,
2002-07,2.0,
2002-10,1.4,
2003-01,1.8,
2003-04,1.5,
2003-07,1.8,
2003-10,0.9,
2004-01,0.9,
2004-04,0.9,
2004-07,5.5,
2004-10,3.3,
2005-01,3.5,
2005-04,4.0,
2005-07,4.9,
2005-10,2.4,
2006-01,2.6,
2006-04,2.8,
2006-07,2.8,
2006-10,2.7,
2007-01,2.9,
2007-04,3.6,
2007-07,2.7,
2007-10,2.2,
2008-01,2.3,
2008-04,1.8,
2008-07,2.7,
2008-10,2.4,
2009-01,2.2,
2009-04,1.7,
2009-07,0.4,
2009-10,0.1,
2010-01,0.6,
2010-04,0.2,
2010-07,0.2,
2010-10,0.5,
2011-01,0.8,
2011-04,0.5,
2011-07,1.3,
2011-10,1.8,
2012-01,1.0,
2012-04,1.0,
2012-07,0.5,
2012-10,0.9,
2013-01,1.3,
2013-04,2.1,
2013-07,1.5,
2013-10,1.4,
2014-01,1.3,
2014-04,1.3,
2014-07,1.4,
