"",BBK01.OEXK04N,BBK01.OEXK04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:19,
2002-01,0.826,
2002-04,0.798,
2002-07,0.847,
2002-10,0.864,
2003-01,0.830,
2003-04,0.786,
2003-07,0.763,
2003-10,0.756,
2004-01,0.676,
2004-04,0.675,
2004-07,0.796,
2004-10,0.635,
2005-01,0.660,
2005-04,0.632,
2005-07,0.674,
2005-10,0.694,
2006-01,0.822,
2006-04,0.961,
2006-07,1.014,
2006-10,1.063,
2007-01,1.043,
2007-04,1.046,
2007-07,1.240,
2007-10,1.411,
2008-01,1.460,
2008-04,1.578,
2008-07,1.668,
2008-10,1.456,
2009-01,1.103,
2009-04,0.835,
2009-07,0.660,
2009-10,0.648,
2010-01,0.610,
2010-04,0.555,
2010-07,0.508,
2010-10,0.509,
2011-01,0.603,
2011-04,0.633,
2011-07,0.841,
2011-10,0.883,
2012-01,0.646,
2012-04,0.623,
2012-07,0.628,
2012-10,0.613,
2013-01,0.631,
2013-04,0.615,
2013-07,0.610,
2013-10,0.662,
2014-01,0.764,
2014-04,0.784,
2014-07,0.822,
