"",BBK01.OEAC01L,BBK01.OEAC01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:29,
2002-01,171.852,
2002-04,166.005,
2002-07,167.925,
2002-10,164.787,
2003-01,178.955,
2003-04,176.383,
2003-07,180.358,
2003-10,178.643,
2004-01,176.986,
2004-04,173.030,
2004-07,175.673,
2004-10,178.806,
2005-01,182.629,
2005-04,183.863,
2005-07,197.906,
2005-10,191.061,
2006-01,198.062,
2006-04,202.400,
2006-07,201.111,
2006-10,178.081,
2007-01,197.170,
2007-04,199.761,
2007-07,199.798,
2007-10,203.122,
2008-01,214.754,
2008-04,208.151,
2008-07,212.859,
2008-10,220.091,
2009-01,229.798,
2009-04,223.549,
2009-07,208.228,
2009-10,199.034,
2010-01,185.368,
2010-04,190.835,
2010-07,180.864,
2010-10,181.197,
2011-01,185.506,
2011-04,184.824,
2011-07,183.464,
2011-10,180.452,
2012-01,180.016,
2012-04,176.603,
2012-07,175.388,
2012-10,168.554,
2013-01,173.571,
2013-04,180.210,
2013-07,145.508,
2013-10,143.024,
2014-01,141.718,
2014-04,140.493,
2014-07,141.145,
