"",BBK01.OEGI05I,BBK01.OEGI05I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:08,
2002-01,18.060,
2002-04,17.960,
2002-07,17.887,
2002-10,17.442,
2003-01,17.402,
2003-04,17.054,
2003-07,17.136,
2003-10,16.749,
2004-01,17.042,
2004-04,16.391,
2004-07,5.962,
2004-10,5.894,
2005-01,5.964,
2005-04,5.732,
2005-07,5.515,
2005-10,6.114,
2006-01,5.878,
2006-04,5.756,
2006-07,5.578,
2006-10,5.495,
2007-01,5.204,
2007-04,5.243,
2007-07,5.160,
2007-10,4.971,
2008-01,4.951,
2008-04,4.895,
2008-07,4.828,
2008-10,4.511,
2009-01,4.398,
2009-04,3.792,
2009-07,3.527,
2009-10,3.225,
2010-01,3.023,
2010-04,2.908,
2010-07,2.770,
2010-10,2.656,
2011-01,2.550,
2011-04,2.512,
2011-07,2.429,
2011-10,2.369,
2012-01,2.300,
2012-04,2.269,
2012-07,2.259,
2012-10,2.096,
2013-01,2.071,
2013-04,2.015,
2013-07,1.840,
2013-10,1.758,
2014-01,2.564,
2014-04,2.492,
2014-07,2.404,
