"",BBK01.OEAF09G,BBK01.OEAF09G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:06:44,
2002-01,0.633,
2002-04,0.636,
2002-07,0.665,
2002-10,0.661,
2003-01,0.655,
2003-04,0.627,
2003-07,0.618,
2003-10,0.618,
2004-01,0.614,
2004-04,0.615,
2004-07,0.574,
2004-10,0.565,
2005-01,0.441,
2005-04,0.442,
2005-07,0.455,
2005-10,0.445,
2006-01,0.434,
2006-04,0.426,
2006-07,0.417,
2006-10,0.416,
2007-01,0.415,
2007-04,0.376,
2007-07,0.382,
2007-10,0.385,
2008-01,0.394,
2008-04,0.392,
2008-07,0.390,
2008-10,0.396,
2009-01,0.402,
2009-04,0.405,
2009-07,0.420,
2009-10,0.427,
2010-01,0.435,
2010-04,0.443,
2010-07,0.448,
2010-10,0.462,
2011-01,0.468,
2011-04,0.473,
2011-07,0.461,
2011-10,0.462,
2012-01,0.464,
2012-04,0.461,
2012-07,0.470,
2012-10,0.475,
2013-01,0.470,
2013-04,0.467,
2013-07,0.461,
2013-10,0.466,
2014-01,0.458,
2014-04,0.452,
2014-07,0.417,
