"",BBK01.TQ7005H,BBK01.TQ7005H_FLAGS
"",Deposit takers - Sectoral distribution of loans to total loans - Nonfinancial corporations           FSI-I005,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:23,
2005-10,14.46,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,14.26,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,14.11,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,14.49,
2009-01,14.88,
2009-04,14.67,
2009-07,14.98,
2009-10,14.80,
2010-01,14.65,
2010-04,14.25,
2010-07,14.60,
2010-10,14.58,
2011-01,15.02,
2011-04,15.05,
2011-07,14.49,
2011-10,14.59,
2012-01,14.17,
2012-04,14.23,
2012-07,14.41,
2012-10,14.85,
2013-01,15.09,
2013-04,15.15,
2013-07,15.31,
2013-10,15.56,
2014-01,15.53,
2014-04,15.57,
2014-07,15.40,
