"",BBK01.OEAH87M,BBK01.OEAH87M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:07,
2002-01,12.922,
2002-04,12.797,
2002-07,12.236,
2002-10,11.204,
2003-01,11.968,
2003-04,11.831,
2003-07,11.453,
2003-10,10.845,
2004-01,11.123,
2004-04,11.462,
2004-07,10.948,
2004-10,10.875,
2005-01,11.043,
2005-04,11.361,
2005-07,11.693,
2005-10,11.911,
2006-01,11.279,
2006-04,10.009,
2006-07,10.130,
2006-10,11.390,
2007-01,10.341,
2007-04,9.571,
2007-07,9.325,
2007-10,8.636,
2008-01,8.496,
2008-04,8.194,
2008-07,8.532,
2008-10,8.186,
2009-01,7.607,
2009-04,2.622,
2009-07,2.450,
2009-10,2.274,
2010-01,2.047,
2010-04,2.075,
2010-07,2.244,
2010-10,2.327,
2011-01,1.920,
2011-04,1.779,
2011-07,1.995,
2011-10,2.680,
2012-01,3.179,
2012-04,2.977,
2012-07,3.247,
2012-10,2.431,
2013-01,2.486,
2013-04,2.290,
2013-07,2.001,
2013-10,2.312,
2014-01,1.995,
2014-04,2.287,
2014-07,2.269,
