"",BBK01.OEHL02Q,BBK01.OEHL02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:37,
2002-01,3.772,
2002-04,3.787,
2002-07,3.743,
2002-10,3.887,
2003-01,3.985,
2003-04,4.098,
2003-07,4.103,
2003-10,4.175,
2004-01,4.198,
2004-04,4.279,
2004-07,4.215,
2004-10,4.303,
2005-01,4.416,
2005-04,4.538,
2005-07,4.661,
2005-10,4.819,
2006-01,4.914,
2006-04,5.007,
2006-07,5.000,
2006-10,5.089,
2007-01,5.135,
2007-04,5.234,
2007-07,5.167,
2007-10,5.222,
2008-01,5.240,
2008-04,5.195,
2008-07,5.124,
2008-10,5.396,
2009-01,6.145,
2009-04,6.413,
2009-07,6.703,
2009-10,6.990,
2010-01,7.009,
2010-04,7.004,
2010-07,7.045,
2010-10,7.082,
2011-01,6.979,
2011-04,6.985,
2011-07,6.982,
2011-10,7.034,
2012-01,7.023,
2012-04,7.126,
2012-07,7.227,
2012-10,7.437,
2013-01,7.520,
2013-04,7.871,
2013-07,7.882,
2013-10,8.046,
2014-01,8.121,
2014-04,8.234,
2014-07,8.281,
