"",BBK01.OECL03K,BBK01.OECL03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:33,
2002-01,0.562,
2002-04,0.556,
2002-07,0.566,
2002-10,0.661,
2003-01,0.577,
2003-04,0.501,
2003-07,0.458,
2003-10,0.486,
2004-01,0.422,
2004-04,0.396,
2004-07,0.393,
2004-10,0.789,
2005-01,0.881,
2005-04,0.843,
2005-07,0.825,
2005-10,0.881,
2006-01,0.939,
2006-04,0.961,
2006-07,1.017,
2006-10,1.090,
2007-01,1.214,
2007-04,1.273,
2007-07,1.583,
2007-10,1.889,
2008-01,2.035,
2008-04,2.149,
2008-07,2.453,
2008-10,2.284,
2009-01,1.675,
2009-04,1.593,
2009-07,1.363,
2009-10,1.101,
2010-01,0.874,
2010-04,0.771,
2010-07,0.684,
2010-10,0.675,
2011-01,0.654,
2011-04,0.629,
2011-07,0.605,
2011-10,0.726,
2012-01,0.697,
2012-04,0.633,
2012-07,0.555,
2012-10,0.395,
2013-01,0.306,
2013-04,0.349,
2013-07,0.304,
2013-10,0.334,
2014-01,0.271,
2014-04,0.298,
2014-07,0.215,
