"",BBK01.OECM04V,BBK01.OECM04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:46,
2002-01,0.380,
2002-04,0.352,
2002-07,0.344,
2002-10,0.358,
2003-01,0.290,
2003-04,0.368,
2003-07,0.313,
2003-10,0.336,
2004-01,0.281,
2004-04,0.217,
2004-07,0.240,
2004-10,0.277,
2005-01,0.290,
2005-04,0.291,
2005-07,0.259,
2005-10,0.286,
2006-01,0.259,
2006-04,0.211,
2006-07,0.226,
2006-10,0.221,
2007-01,0.239,
2007-04,0.253,
2007-07,0.236,
2007-10,0.310,
2008-01,0.310,
2008-04,0.387,
2008-07,0.486,
2008-10,0.430,
2009-01,0.381,
2009-04,0.477,
2009-07,0.457,
2009-10,0.393,
2010-01,0.314,
2010-04,0.256,
2010-07,0.216,
2010-10,0.303,
2011-01,0.190,
2011-04,0.214,
2011-07,0.359,
2011-10,0.567,
2012-01,0.770,
2012-04,0.710,
2012-07,0.431,
2012-10,0.262,
2013-01,0.347,
2013-04,0.573,
2013-07,0.571,
2013-10,0.535,
2014-01,0.289,
2014-04,0.420,
2014-07,0.401,
