"",BBEX3.M.COP.EUR.CA.AC.A01,BBEX3.M.COP.EUR.CA.AC.A01_FLAGS
"",Exchange rates and comparable rates for the euro in Colombia * / EUR 1 = COP ... (middle),
unit,COP (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:47,
1999-01,1799.630,
1999-02,1735.470,
1999-03,1645.305,
1999-04,1699.600,
1999-05,1747.710,
1999-06,1788.330,
1999-07,1931.655,
1999-08,2068.000,
1999-09,2148.495,
1999-10,2073.050,
1999-11,1942.145,
1999-12,1878.550,
2000-01,1930.955,
2000-02,1887.880,
2000-03,1874.960,
2000-04,1823.180,
2000-05,1941.790,
2000-06,2036.115,
2000-07,2005.705,
2000-08,1969.170,
2000-09,1952.255,
2000-10,1820.025,
2000-11,1886.575,
2000-12,2065.770,
2001-01,2085.400,
2001-02,2065.345,
2001-03,2036.230,
2001-04,2083.160,
2001-05,1992.850,
2001-06,1947.665,
2001-07,2005.560,
2001-08,2110.460,
2001-09,2137.445,
2001-10,2082.475,
2001-11,2050.985,
2001-12,2035.305,
2002-01,1956.460,
2002-02,2002.510,
2002-03,1982.700,
2002-04,2049.065,
2002-05,2182.590,
2002-06,2374.275,
2002-07,2568.490,
2002-08,2662.250,
2002-09,2794.845,
2002-10,2749.975,
2002-11,2741.870,
2002-12,3001.725,
2003-01,3140.970,
2003-02,3188.530,
2003-03,3227.305,
2003-04,3214.435,
2003-05,3376.220,
2003-06,3219.360,
2003-07,3260.030,
2003-08,3110.115,
2003-09,3366.720,
2003-10,3351.985,
2003-11,3404.735,
2003-12,3508.880,
2004-01,3393.900,
2004-02,3336.140,
2004-03,3273.785,
2004-04,3162.350,
2004-05,3323.860,
2004-06,3281.340,
2004-07,3153.675,
2004-08,3090.035,
2004-09,3220.345,
2004-10,3293.530,
2004-11,3295.965,
2004-12,3255.085,
2005-01,3086.380,
2005-02,3080.615,
2005-03,3080.865,
2005-04,3038.240,
2005-05,2876.565,
2005-06,2819.635,
2005-07,2795.205,
2005-08,2810.785,
2005-09,2757.150,
2005-10,2752.750,
2005-11,2676.315,
2005-12,2694.700,
2006-01,2745.510,
2006-02,2668.690,
2006-03,2771.785,
2006-04,2978.365,
2006-05,3194.365,
2006-06,3347.485,
2006-07,3097.265,
2006-08,3079.905,
2006-09,3034.690,
2006-10,2939.615,
2006-11,3036.555,
2006-12,2948.485,
2007-01,2927.240,
2007-02,2938.275,
2007-03,2870.120,
2007-04,2871.575,
2007-05,2597.290,
2007-06,2644.400,
2007-07,2702.755,
2007-08,2978.335,
2007-09,2854.485,
2007-10,2888.590,
2007-11,3041.390,
2007-12,2965.935,
2008-01,2884.185,
2008-02,2796.165,
2008-03,2880.325,
2008-04,2766.445,
2008-05,2723.135,
2008-06,3031.440,
2008-07,2797.860,
2008-08,2811.395,
2008-09,3110.350,
2008-10,3094.645,
2008-11,2957.875,
2008-12,3122.410,
2009-01,3058.635,
2009-02,3230.610,
2009-03,3408.465,
2009-04,3039.615,
2009-05,3088.090,
2009-06,3051.070,
2009-07,2888.915,
2009-08,2904.345,
2009-09,2814.390,
2009-10,2966.475,
2009-11,3000.800,
2009-12,2944.920,
2010-01,2780.920,
2010-02,2635.260,
2010-03,2599.545,
2010-04,2622.720,
2010-05,2426.385,
2010-06,2351.690,
2010-07,2398.905,
2010-08,2312.505,
2010-09,2456.500,
2010-10,2549.550,
2010-11,2491.665,
2010-12,2642.565,
2011-01,2543.940,
2011-02,2622.320,
2011-03,2670.170,
2011-04,2626.560,
2011-05,2614.235,
2011-06,2572.865,
2011-07,2525.665,
2011-08,2577.385,
2011-09,2585.965,
2011-10,2608.465,
2011-11,2639.560,
2011-12,2513.670,
2012-01,2391.545,
2012-02,2376.495,
2012-03,2383.585,
2012-04,2327.250,
2012-05,2267.055,
2012-06,2273.260,
2012-07,2197.630,
2012-08,2308.445,
2012-09,2324.920,
2012-10,2377.575,
2012-11,2360.755,
2012-12,2333.000,
2013-01,2402.740,
2013-02,2384.775,
2013-03,2346.130,
2013-04,2390.595,
2013-05,2460.060,
2013-06,2514.800,
2013-07,2509.405,
2013-08,2571.610,
2013-09,2585.725,
2013-10,2570.040,
2013-11,2624.550,
2013-12,2657.290,
2014-01,2714.370,
2014-02,2838.440,
2014-03,2709.785,
2014-04,2680.160,
2014-05,2593.440,
2014-06,2569.325,
2014-07,2505.120,
2014-08,2551.925,
2014-09,2552.430,
2014-10,2568.070,
2014-11,2702.750,
2014-12,2904.685,
2015-01,2710.205,
"","Source: Since April 2003: Superintendencia Financiera de Colombia, Bogotá, D.C. (formerly: Superintendencia Bancaria de Colombia). 1999 - March 2003: Dresdner Bank Lateinamerika AG, Hamburg.",
"","Methodology: * We only have data on exchange rates for the euro in Colombia up until March 2003. From April 2003, the quoted figures are comparable rates calculated on the basis of the buying and selling rates for the US dollar in Colombia in conjunction with the respective euro reference exchange rate of the European Central Bank for the US dollar.",
