"",BBK01.OEAB07S,BBK01.OEAB07S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:30,
2002-01,0.894,
2002-04,0.885,
2002-07,0.889,
2002-10,0.892,
2003-01,0.814,
2003-04,0.764,
2003-07,0.761,
2003-10,0.792,
2004-01,0.776,
2004-04,0.771,
2004-07,0.748,
2004-10,0.702,
2005-01,0.686,
2005-04,0.753,
2005-07,0.747,
2005-10,0.766,
2006-01,0.745,
2006-04,0.778,
2006-07,0.777,
2006-10,0.780,
2007-01,0.826,
2007-04,0.845,
2007-07,0.883,
2007-10,0.838,
2008-01,0.849,
2008-04,0.919,
2008-07,0.969,
2008-10,0.999,
2009-01,0.982,
2009-04,1.154,
2009-07,1.214,
2009-10,1.336,
2010-01,1.339,
2010-04,1.413,
2010-07,1.487,
2010-10,1.496,
2011-01,1.580,
2011-04,1.865,
2011-07,1.986,
2011-10,2.126,
2012-01,2.139,
2012-04,2.094,
2012-07,2.185,
2012-10,2.040,
2013-01,2.018,
2013-04,2.017,
2013-07,1.972,
2013-10,1.865,
2014-01,1.853,
2014-04,1.703,
2014-07,1.720,
