"",BBFB1.M.N.DE.W1.S1.S1.T.D.D4S.D.F5._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.D4S.D.F5._Z._T._X.N_FLAGS
"",Current account / Primary income / Investment income / Income from Direct investment / Equity / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:38,
1991-01,550.838,
1991-02,261.768,
1991-03,296.653,
1991-04,321.469,
1991-05,427.318,
1991-06,1493.790,
1991-07,633.503,
1991-08,373.390,
1991-09,383.991,
1991-10,304.988,
1991-11,362.975,
1991-12,448.907,
1992-01,386.499,
1992-02,46.999,
1992-03,224.586,
1992-04,-32.534,
1992-05,107.379,
1992-06,605.030,
1992-07,214.998,
1992-08,185.462,
1992-09,322.296,
1992-10,-27.225,
1992-11,177.294,
1992-12,-372.466,
1993-01,392.125,
1993-02,169.712,
1993-03,44.920,
1993-04,143.114,
1993-05,21.702,
1993-06,40.537,
1993-07,62.435,
1993-08,58.227,
1993-09,185.853,
1993-10,51.554,
1993-11,-60.172,
1993-12,-318.996,
1994-01,689.627,
1994-02,383.896,
1994-03,462.207,
1994-04,275.210,
1994-05,580.523,
1994-06,192.229,
1994-07,668.061,
1994-08,447.071,
1994-09,535.355,
1994-10,156.028,
1994-11,615.775,
1994-12,423.764,
1995-01,573.265,
1995-02,453.650,
1995-03,624.092,
1995-04,130.859,
1995-05,189.226,
1995-06,382.915,
1995-07,568.177,
1995-08,455.942,
1995-09,215.115,
1995-10,397.191,
1995-11,268.200,
1995-12,227.172,
1996-01,-57.223,
1996-02,10.302,
1996-03,-313.191,
1996-04,-108.412,
1996-05,47.965,
1996-06,228.087,
1996-07,1748.356,
1996-08,315.049,
1996-09,747.671,
1996-10,145.131,
1996-11,18.045,
1996-12,25.118,
1997-01,507.924,
1997-02,407.046,
1997-03,228.482,
1997-04,196.955,
1997-05,796.255,
1997-06,842.490,
1997-07,680.040,
1997-08,186.250,
1997-09,165.433,
1997-10,1055.384,
1997-11,673.070,
1997-12,766.552,
1998-01,343.705,
1998-02,278.879,
1998-03,633.214,
1998-04,699.039,
1998-05,486.579,
1998-06,752.840,
1998-07,1733.265,
1998-08,563.417,
1998-09,557.716,
1998-10,675.344,
1998-11,219.290,
1998-12,2325.222,
1999-01,-101.388,
1999-02,944.882,
1999-03,123.197,
1999-04,135.511,
1999-05,180.524,
1999-06,709.644,
1999-07,350.505,
1999-08,290.008,
1999-09,384.863,
1999-10,549.537,
1999-11,131.868,
1999-12,2200.459,
2000-01,-532.621,
2000-02,42.286,
2000-03,79.112,
2000-04,31.500,
2000-05,-82.975,
2000-06,668.068,
2000-07,377.144,
2000-08,700.070,
2000-09,393.432,
2000-10,192.415,
2000-11,663.191,
2000-12,1837.872,
2001-01,-467.364,
2001-02,-591.048,
2001-03,-585.382,
2001-04,-847.929,
2001-05,-772.851,
2001-06,-804.534,
2001-07,-777.333,
2001-08,-804.769,
2001-09,-813.524,
2001-10,-611.267,
2001-11,-667.119,
2001-12,-573.745,
2002-01,414.552,
2002-02,481.188,
2002-03,501.130,
2002-04,460.841,
2002-05,521.007,
2002-06,554.572,
2002-07,521.195,
2002-08,544.928,
2002-09,641.961,
2002-10,638.750,
2002-11,649.954,
2002-12,734.494,
2003-01,600.606,
2003-02,630.150,
2003-03,682.882,
2003-04,1140.178,
2003-05,759.993,
2003-06,439.456,
2003-07,749.622,
2003-08,776.117,
2003-09,891.035,
2003-10,835.473,
2003-11,908.628,
2003-12,1085.785,
2004-01,832.846,
2004-02,817.913,
2004-03,812.328,
2004-04,821.390,
2004-05,790.448,
2004-06,830.736,
2004-07,825.504,
2004-08,844.958,
2004-09,912.826,
2004-10,837.181,
2004-11,925.154,
2004-12,919.395,
2005-01,1641.532,
2005-02,1623.340,
2005-03,1622.511,
2005-04,1639.228,
2005-05,1556.285,
2005-06,1628.648,
2005-07,1700.721,
2005-08,1658.890,
2005-09,1801.848,
2005-10,1680.493,
2005-11,1845.364,
2005-12,1871.201,
2006-01,1372.683,
2006-02,1360.975,
2006-03,1392.676,
2006-04,1423.230,
2006-05,1478.215,
2006-06,1536.400,
2006-07,1612.910,
2006-08,1712.034,
2006-09,1781.944,
2006-10,1874.947,
2006-11,1997.083,
2006-12,2148.611,
2007-01,3391.109,
2007-02,3181.966,
2007-03,3144.248,
2007-04,2998.463,
2007-05,2952.265,
2007-06,2786.051,
2007-07,2771.686,
2007-08,2413.157,
2007-09,2155.797,
2007-10,1914.790,
2007-11,1609.308,
2007-12,1275.195,
2008-01,919.639,
2008-02,472.236,
2008-03,310.245,
2008-04,10.865,
2008-05,-116.068,
2008-06,-233.916,
2008-07,-202.210,
2008-08,-290.245,
2008-09,-251.459,
2008-10,-139.431,
2008-11,-13.413,
2008-12,442.257,
2009-01,143.142,
2009-02,146.489,
2009-03,209.838,
2009-04,237.817,
2009-05,284.765,
2009-06,376.404,
2009-07,482.067,
2009-08,581.923,
2009-09,689.606,
2009-10,856.348,
2009-11,1005.759,
2009-12,1229.112,
2010-01,1412.738,
2010-02,1582.087,
2010-03,1763.825,
2010-04,1940.153,
2010-05,1978.034,
2010-06,2098.068,
2010-07,2148.243,
2010-08,2177.125,
2010-09,2203.573,
2010-10,2232.532,
2010-11,2186.030,
2010-12,2638.784,
2011-01,1792.306,
2011-02,1754.089,
2011-03,1732.608,
2011-04,1713.274,
2011-05,1737.892,
2011-06,1742.006,
2011-07,1750.466,
2011-08,1759.844,
2011-09,1791.849,
2011-10,1825.559,
2011-11,1876.582,
2011-12,1980.747,
2012-01,2010.903,
2012-02,2038.839,
2012-03,2175.977,
2012-04,2262.915,
2012-05,2174.408,
2012-06,2219.914,
2012-07,2313.103,
2012-08,2196.318,
2012-09,2264.259,
2012-10,2243.622,
2012-11,2215.288,
2012-12,2234.062,
2013-01,2093.534,
2013-02,1981.634,
2013-03,1933.157,
2013-04,1928.247,
2013-05,1917.029,
2013-06,1896.997,
