"",BBK01.OEXB12M,BBK01.OEXB12M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:49,
2002-01,1.954,
2002-04,1.980,
2002-07,2.030,
2002-10,2.102,
2003-01,2.085,
2003-04,2.139,
2003-07,2.141,
2003-10,2.197,
2004-01,2.176,
2004-04,2.236,
2004-07,2.273,
2004-10,1.857,
2005-01,1.857,
2005-04,1.778,
2005-07,1.845,
2005-10,1.855,
2006-01,1.886,
2006-04,1.951,
2006-07,1.998,
2006-10,2.088,
2007-01,2.188,
2007-04,2.219,
2007-07,2.157,
2007-10,2.227,
2008-01,2.259,
2008-04,2.324,
2008-07,2.279,
2008-10,2.292,
2009-01,2.280,
2009-04,2.348,
2009-07,2.443,
2009-10,2.524,
2010-01,2.570,
2010-04,2.661,
2010-07,2.827,
2010-10,3.032,
2011-01,3.114,
2011-04,3.200,
2011-07,3.255,
2011-10,3.330,
2012-01,3.353,
2012-04,3.520,
2012-07,3.575,
2012-10,3.809,
2013-01,3.794,
2013-04,3.901,
2013-07,3.928,
2013-10,3.879,
2014-01,3.772,
2014-04,3.894,
2014-07,3.897,
