"",BBK01.OEXL09N,BBK01.OEXL09N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:42,
2002-01,3.992,
2002-04,3.790,
2002-07,3.818,
2002-10,3.592,
2003-01,3.211,
2003-04,2.909,
2003-07,2.649,
2003-10,2.519,
2004-01,2.375,
2004-04,2.219,
2004-07,2.085,
2004-10,1.711,
2005-01,1.816,
2005-04,1.724,
2005-07,1.446,
2005-10,1.421,
2006-01,1.449,
2006-04,1.610,
2006-07,1.797,
2006-10,1.986,
2007-01,2.881,
2007-04,3.319,
2007-07,3.715,
2007-10,4.276,
2008-01,4.565,
2008-04,4.760,
2008-07,5.016,
2008-10,7.161,
2009-01,6.987,
2009-04,6.824,
2009-07,6.747,
2009-10,5.407,
2010-01,4.344,
2010-04,4.177,
2010-07,3.952,
2010-10,4.776,
2011-01,5.559,
2011-04,5.808,
2011-07,5.872,
2011-10,5.569,
2012-01,5.060,
2012-04,5.054,
2012-07,4.729,
2012-10,3.998,
2013-01,3.357,
2013-04,2.861,
2013-07,2.644,
2013-10,2.502,
2014-01,2.398,
2014-04,2.306,
2014-07,3.083,
