"",BBK01.OEAI03S,BBK01.OEAI03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:20,
2002-01,7.205,
2002-04,7.126,
2002-07,7.090,
2002-10,7.205,
2003-01,7.104,
2003-04,7.057,
2003-07,7.023,
2003-10,7.370,
2004-01,7.270,
2004-04,7.228,
2004-07,7.239,
2004-10,6.185,
2005-01,6.422,
2005-04,6.510,
2005-07,6.529,
2005-10,6.768,
2006-01,6.972,
2006-04,7.139,
2006-07,7.215,
2006-10,7.576,
2007-01,7.787,
2007-04,8.014,
2007-07,8.308,
2007-10,8.820,
2008-01,9.030,
2008-04,9.076,
2008-07,9.373,
2008-10,9.210,
2009-01,8.685,
2009-04,6.903,
2009-07,6.646,
2009-10,6.652,
2010-01,6.604,
2010-04,6.640,
2010-07,6.709,
2010-10,6.618,
2011-01,6.796,
2011-04,6.807,
2011-07,6.813,
2011-10,7.571,
2012-01,7.861,
2012-04,7.997,
2012-07,8.038,
2012-10,7.815,
2013-01,7.579,
2013-04,8.116,
2013-07,8.028,
2013-10,8.095,
2014-01,8.248,
2014-04,8.309,
2014-07,8.284,
